WifeAge,WifeEducation,HusbandEducation,StandardOfLiving,NumberOfChildren,WifeReligion,WifeWorking,MediaExposure,HusbandOccupation,ContraceptiveMethod
16.11765,3.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0
0.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0
19.999992,3.0,4.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0
17.63839,3.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0
16.116201,3.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0
18.05882,3.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0
0.0,3.0,4.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0
19.999992,3.0,4.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0
18.819193,4.0,4.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0
18.058096,3.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0
44.235294,4.0,4.0,4.0,11.0,1.0,1.0,0.0,1.0,2.0
0.0,4.0,4.0,3.0,5.0,0.0,1.0,0.0,1.0,1.0
40.999985,4.0,4.0,4.0,8.0,1.0,1.0,0.0,1.0,2.0
47.27678,4.0,4.0,4.0,16.0,1.0,1.0,0.0,1.0,2.0
43.97092,4.0,4.0,4.0,11.0,1.0,1.0,0.0,1.0,2.0
39.11764,4.0,4.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0
0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0
37.999985,3.0,3.0,4.0,2.0,0.0,1.0,0.0,3.0,2.0
40.638386,4.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0
39.116188,4.0,4.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0
21.99999,4.0,4.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0
0.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0
22.999992,4.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0
21.999994,4.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0
21.999987,4.0,4.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0
20.764677,4.0,4.0,4.0,1.0,0.0,1.0,0.0,2.0,2.0
0.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0
19.999992,4.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0
17.723206,4.0,4.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0
20.970936,4.0,4.0,4.0,1.0,0.0,1.0,0.0,2.0,2.0
32.94116,4.0,4.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0
0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0
32.99999,1.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0
32.180794,3.0,4.0,4.0,1.0,0.0,1.0,0.0,2.0,0.0
33.058086,4.0,4.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0
30.999987,4.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,2.0
0.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0
31.999989,4.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,2.0
30.999992,4.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0
31.029034,4.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,2.0
24.941162,3.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0
0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0
24.99999,4.0,4.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0
24.180798,2.0,4.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0
24.999985,3.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0
23.99999,4.0,4.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0
0.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0
23.999992,1.0,4.0,2.0,1.0,1.0,0.0,1.0,4.0,1.0
23.999994,4.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0
23.999985,4.0,4.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0
31.999987,2.0,3.0,3.0,5.0,1.0,0.0,0.0,2.0,2.0
0.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0
31.999989,3.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0
31.999992,2.0,3.0,2.0,4.0,1.0,0.0,0.0,2.0,2.0
31.99998,2.0,3.0,3.0,5.0,1.0,0.0,0.0,2.0,2.0
40.294125,2.0,2.0,2.0,8.0,1.0,1.0,0.0,2.0,0.0
0.0,1.0,1.0,2.0,8.0,0.0,1.0,0.0,2.0,0.0
42.999985,1.0,2.0,2.0,8.0,1.0,1.0,1.0,2.0,0.0
44.095978,1.0,1.0,2.0,8.0,1.0,1.0,1.0,2.0,0.0
40.087135,2.0,2.0,2.0,8.0,1.0,1.0,0.0,2.0,0.0
22.941162,4.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,3.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
21.999992,4.0,4.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0
22.180798,3.0,4.0,4.0,1.0,1.0,1.0,0.0,4.0,1.0
22.970934,4.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
32.999985,4.0,4.0,4.0,3.0,0.0,1.0,0.0,2.0,1.0
0.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0
32.99999,4.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0
32.999992,4.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0
32.99998,4.0,4.0,4.0,3.0,0.0,1.0,0.0,2.0,1.0
34.999985,2.0,2.0,2.0,6.0,1.0,0.0,1.0,2.0,2.0
0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,2.0,0.0
34.99999,2.0,2.0,1.0,6.0,1.0,0.0,1.0,3.0,0.0
34.999992,1.0,2.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0
34.99998,2.0,2.0,2.0,6.0,1.0,0.0,1.0,2.0,2.0
27.999987,4.0,4.0,1.0,5.0,1.0,1.0,0.0,2.0,0.0
0.0,3.0,4.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0
27.99999,4.0,4.0,3.0,4.0,1.0,1.0,0.0,2.0,2.0
27.999992,4.0,4.0,3.0,5.0,1.0,1.0,0.0,2.0,2.0
27.999983,4.0,4.0,1.0,5.0,1.0,1.0,0.0,2.0,0.0
33.999985,4.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,2.0
0.0,3.0,4.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0
33.99999,4.0,4.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0
33.999992,4.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0
33.76756,4.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,2.0
24.99999,2.0,4.0,3.0,3.0,1.0,1.0,0.0,3.0,2.0
0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0
24.99999,3.0,4.0,4.0,3.0,1.0,0.0,0.0,3.0,2.0
24.999994,3.0,1.0,4.0,2.0,1.0,0.0,0.0,3.0,1.0
24.999985,2.0,4.0,3.0,3.0,1.0,1.0,0.0,3.0,2.0
47.05881,4.0,4.0,4.0,8.0,1.0,1.0,0.0,1.0,1.0
0.0,4.0,4.0,4.0,7.0,1.0,0.0,0.0,1.0,1.0
44.999985,4.0,4.0,4.0,7.0,1.0,1.0,0.0,1.0,1.0
47.819187,4.0,4.0,4.0,16.0,1.0,1.0,0.0,1.0,2.0
47.029022,4.0,4.0,4.0,8.0,1.0,1.0,0.0,1.0,1.0
26.999989,4.0,4.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0
0.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0
26.99999,3.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0
26.999992,3.0,3.0,4.0,1.0,1.0,0.0,0.0,3.0,1.0
26.999983,4.0,4.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0
24.99999,4.0,4.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0
0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0
23.999992,2.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0
24.999994,3.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0
24.999985,4.0,4.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0
38.882328,4.0,4.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0
0.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0
38.999985,4.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0
37.361595,4.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0
38.999977,4.0,4.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0
24.99999,2.0,3.0,4.0,1.0,1.0,0.0,0.0,4.0,1.0
0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0
24.99999,4.0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0
24.999994,4.0,4.0,3.0,1.0,0.0,1.0,0.0,3.0,2.0
24.970932,2.0,3.0,4.0,1.0,1.0,0.0,0.0,4.0,1.0
20.882334,3.0,3.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0
0.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0
20.999992,3.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0
19.3616,4.0,4.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0
20.999989,3.0,3.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0
19.11765,4.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0
0.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
18.999992,4.0,4.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0
20.63839,4.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0
18.941883,4.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0
45.70584,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0
0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0
46.999985,1.0,2.0,2.0,4.0,1.0,1.0,0.0,2.0,0.0
