WifeAge,WifeEducation,HusbandEducation,StandardOfLiving,NumberOfChildren,WifeReligion,WifeWorking,MediaExposure,HusbandOccupation,ContraceptiveMethod
47.50238,2.0,3.0,4.0,6.0,0.0,1.0,0.0,2.0,0.0
47.828186,2.0,3.0,4.0,6.0,0.0,1.0,0.0,2.0,0.0
47.701996,2.0,3.0,4.0,5.0,0.0,1.0,0.0,2.0,0.0
47.98597,1.0,3.0,4.0,6.0,1.0,1.0,0.0,2.0,0.0
47.852474,2.0,3.0,3.0,6.0,0.0,1.0,0.0,2.0,0.0
20.960308,2.0,3.0,4.0,1.0,1.0,1.0,0.0,3.0,0.0
20.968943,2.0,3.0,4.0,1.0,1.0,1.0,0.0,3.0,0.0
19.701998,3.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0
20.613853,2.0,3.0,4.0,1.0,1.0,1.0,0.0,3.0,0.0
19.46474,2.0,3.0,4.0,1.0,1.0,1.0,0.0,3.0,0.0
40.079365,1.0,2.0,1.0,8.0,1.0,1.0,1.0,3.0,0.0
40.0621,1.0,2.0,1.0,7.0,1.0,1.0,1.0,3.0,0.0
42.595993,1.0,1.0,1.0,8.0,1.0,1.0,1.0,4.0,0.0
41.13156,1.0,3.0,1.0,8.0,1.0,1.0,0.0,3.0,0.0
42.295013,1.0,2.0,1.0,7.0,1.0,1.0,1.0,3.0,0.0
24.999996,3.0,4.0,4.0,3.0,1.0,1.0,0.0,2.0,2.0
24.999996,3.0,4.0,4.0,3.0,1.0,1.0,0.0,2.0,2.0
24.999998,3.0,4.0,4.0,3.0,1.0,1.0,0.0,2.0,2.0
24.999996,3.0,4.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0
24.999992,3.0,4.0,4.0,3.0,1.0,0.0,0.0,2.0,2.0
27.999994,2.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0
27.999996,2.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0
27.999996,2.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0
27.28145,2.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0
