WifeAge,WifeEducation,HusbandEducation,StandardOfLiving,NumberOfChildren,WifeReligion,WifeWorking,MediaExposure,HusbandOccupation,ContraceptiveMethod
46.99993,1.999997,2.9999955,2.9999955,3.999994,0.9999985,0.9999985,0.0,1.999997,0.0
46.99994,0.9999987,0.9999987,1.9999974,3.9999948,0.9999987,0.9999987,0.0,1.9999974,0.0
46.999992,1.9999996,0.9999998,3.9999993,4.999999,0.0,0.9999998,0.0,1.9999996,0.0
47.057278,0.9999998,0.9999998,2.0572865,4.114573,0.9999998,0.9999998,0.057286754,1.9999996,0.0
46.999996,1.9999999,2.9999998,2.9999998,3.9999998,0.99999994,0.99999994,0.0,1.9999999,0.0
20.99997,1.999997,2.9999955,3.999994,0.0,0.9999985,0.9999985,0.0,2.9999955,0.0
18.999975,2.9999962,2.9999962,3.9999948,0.9999987,0.9999987,0.9999987,0.0,1.9999974,0.0
19.999996,2.9999995,2.9999995,2.9999995,0.9999998,0.9999998,0.9999998,0.0,1.9999996,0.0
19.057283,2.9427128,2.9999995,3.9999993,0.9999998,0.9999998,0.9999998,0.0,2.0572865,0.0
20.999998,1.9999999,2.9999998,3.9999998,0.0,0.99999994,0.99999994,0.0,2.9999998,0.0
39.99994,0.9999985,1.999997,0.9999985,5.999991,0.9999985,0.9999985,0.9999985,2.9999955,0.0
37.99995,0.9999987,1.9999974,0.9999987,5.9999924,0.9999987,0.9999987,0.9999987,1.9999974,0.0
39.999992,1.9999996,1.9999996,1.9999996,5.999999,0.9999998,0.9999998,0.9999998,1.9999996,0.0
38.171856,1.0572866,1.9999996,1.0572866,5.9427123,0.9427131,0.9999998,0.9427131,1.9999996,0.0
39.999996,0.99999994,1.9999999,0.99999994,5.9999995,0.99999994,0.99999994,0.99999994,2.9999998,0.0
23.999964,2.9999955,3.999994,3.999994,2.9999955,0.9999985,0.9999985,0.0,0.9999985,1.999997
24.999968,1.9999974,3.9999948,2.9999962,2.9999962,0.9999987,0.9999987,0.0,0.9999987,1.9999974
23.999996,1.9999996,3.9999993,3.9999993,1.9999996,0.9999998,0.9999998,0.0,0.9999998,1.9999996
25.057283,1.9999996,3.9999993,2.9999995,2.9999995,0.9999998,0.9999998,0.0,0.9999998,1.9999996
23.999998,2.9999998,3.9999998,3.9999998,2.9999998,0.99999994,0.99999994,0.0,0.99999994,1.9999999
26.99996,1.999997,1.999997,1.999997,0.9999985,0.9999985,0.0,0.9999985,2.9999955,0.0
27.999964,1.9999974,1.9999974,1.9999974,0.9999987,0.9999987,0.9999987,0.0,2.9999962,0.0
27.999994,1.9999996,2.9999995,0.9999998,0.9999998,0.9999998,0.9999998,0.0,2.9999995,0.0
28.057281,1.9999996,2.0572865,1.9427129,1.0572866,0.9999998,0.9999998,0.0,2.9999995,0.0
26.999998,1.9999999,1.9999999,1.9999999,0.99999994,0.99999994,0.0,0.99999994,2.9999998,0.0
22.999966,3.999994,3.999994,3.999994,1.999997,0.9999985,0.9999985,0.0,2.9999955,1.999997
21.999971,1.9999974,3.9999948,2.9999962,0.9999987,0.9999987,0.9999987,0.0,2.9999962,1.9999974
21.999996,2.9999995,3.9999993,3.9999993,1.9999996,0.0,0.9999998,0.0,2.9999995,1.9999996
21.999996,2.0572865,3.9999993,2.9999995,0.9999998,0.9999998,0.9999998,0.0,2.9999995,1.9999996
22.999998,3.9999998,3.9999998,3.9999998,1.9999999,0.99999994,0.99999994,0.0,2.9999998,1.9999999
27.999958,2.9999955,3.999994,2.9999955,1.999997,0.9999985,0.9999985,0.0,1.999997,1.999997
27.999964,2.9999962,3.9999948,2.9999962,1.9999974,0.0,0.9999987,0.0,2.9999962,0.9999987
27.999994,2.9999995,2.9999995,2.9999995,1.9999996,0.0,0.9999998,0.0,1.9999996,1.9999996
27.999994,2.9999995,3.9999993,2.9999995,1.9999996,0.0,0.9999998,0.0,2.9427128,0.9999998
27.999998,2.9999998,3.9999998,2.9999998,1.9999999,0.99999994,0.99999994,0.0,1.9999999,1.9999999
48.999928,3.999994,3.999994,3.999994,6.9999895,0.0,0.9999985,0.0,1.999997,0.0
46.99994,0.9999987,3.9999948,2.9999962,7.9999895,0.9999987,0.9999987,0.0,2.9999962,0.0
47.999992,3.9999993,2.9999995,3.9999993,6.9999986,0.9999998,0.0,0.0,1.9999996,0.9999998
47.057278,1.1145734,3.9999993,2.9999995,7.9999986,0.9999998,0.9999998,0.0,2.9999995,0.0
48.999996,3.9999998,3.9999998,3.9999998,6.9999995,0.0,0.99999994,0.0,1.9999999,0.0
41.99994,3.999994,3.999994,3.999994,4.9999924,0.9999985,0.9999985,0.0,0.9999985,1.999997
42.999943,3.9999948,3.9999948,3.9999948,4.9999933,0.0,0.9999987,0.0,0.9999987,1.9999974
41.999992,3.9999993,3.9999993,3.9999993,4.999999,0.0,0.9999998,0.0,1.9999996,1.9999996
42.942707,3.9999993,3.9999993,3.9999993,4.999999,0.057286754,0.9999998,0.0,0.9999998,1.9427129
41.999996,3.9999998,3.9999998,3.9999998,4.9999995,0.99999994,0.99999994,0.0,0.99999994,1.9999999
46.99993,0.9999985,3.999994,2.9999955,6.9999895,0.9999985,0.9999985,0.0,1.999997,0.0
45.99994,1.9999974,3.9999948,3.9999948,5.9999924,0.9999987,0.9999987,0.0,0.9999987,0.0
46.999992,0.9999998,3.9999993,3.9999993,5.999999,0.9999998,0.9999998,0.0,0.9999998,0.0
45.942707,2.0572865,3.9427125,3.9999993,5.999999,0.9427131,0.9999998,0.0,1.0572866,0.057286754
46.999996,0.99999994,3.9999998,2.9999998,6.9999995,0.99999994,0.99999994,0.0,1.9999999,0.0
29.999956,2.9999955,2.9999955,3.999994,4.9999924,0.9999985,0.0,0.0,2.9999955,0.0
29.99996,1.9999974,2.9999962,3.9999948,4.9999933,0.9999987,0.0,0.0,2.9999962,1.9999974
28.999994,1.9999996,3.9999993,3.9999993,3.9999993,0.9999998,0.0,0.0,1.9999996,1.9999996
29.942709,2.0572865,2.9999995,3.9999993,4.9427123,0.9999998,0.057286754,0.0,2.9999995,1.9999996
29.999998,2.9999998,2.9999998,3.9999998,4.9999995,0.99999994,0.0,0.0,2.9999998,0.0
20.99997,2.9999955,2.9999955,1.999997,0.9999985,0.9999985,0.9999985,0.0,2.9999955,1.999997
21.999971,1.9999974,1.9999974,2.9999962,1.9999974,0.9999987,0.9999987,0.0,1.9999974,1.9999974
20.999996,2.9999995,2.9999995,1.9999996,0.9999998,0.9999998,0.9999998,0.0,1.9999996,1.9999996
21.885422,2.0572865,2.0572865,2.9427128,1.9999996,0.9999998,0.9999998,0.057286754,1.9999996,1.9999996
20.999998,2.9999998,2.9999998,1.9999999,0.99999994,0.99999994,0.99999994,0.0,2.9999998,1.9999999
20.99997,1.999997,1.999997,1.999997,0.9999985,0.9999985,0.9999985,0.0,2.9999955,0.0
21.999971,1.9999974,1.9999974,0.9999987,0.9999987,0.9999987,0.9999987,0.9999987,2.9999962,0.0
22.999996,2.9999995,1.9999996,1.9999996,0.0,0.9999998,0.9999998,0.0,1.9999996,0.0
21.999996,1.9999996,1.9427129,1.0572866,0.9427131,0.9999998,0.9999998,0.9427131,2.9999995,0.0
20.999998,1.9999999,1.9999999,1.9999999,0.99999994,0.99999994,0.99999994,0.0,2.9999998,0.0
45.99993,1.999997,3.999994,3.999994,5.999991,0.9999985,0.9999985,0.0,0.9999985,0.0
43.999943,0.9999987,2.9999962,2.9999962,3.9999948,0.9999987,0.9999987,0.9999987,2.9999962,0.0
44.999992,1.9999996,2.9999995,1.9999996,5.999999,0.9999998,0.9999998,0.9999998,2.9999995,0.0
44.057278,0.9999998,3.0572863,2.9427128,4.0572863,0.9999998,0.9999998,0.9999998,2.885426,0.0
45.999996,1.9999999,3.9999998,3.9999998,5.9999995,0.99999994,0.99999994,0.0,0.99999994,0.0
34.999947,3.999994,3.999994,3.999994,3.999994,0.0,0.0,0.0,0.9999985,1.999997
34.999954,3.9999948,3.9999948,3.9999948,4.9999933,0.0,0.0,0.0,0.9999987,0.9999987
34.999992,3.9999993,3.9999993,3.9999993,4.999999,0.9999998,0.9999998,0.0,0.9999998,0.9999998
35.05728,3.9999993,3.9999993,3.9999993,4.9427123,0.0,0.0,0.0,0.9999998,0.9999998
34.999996,3.9999998,3.9999998,3.9999998,3.9999998,0.0,0.0,0.0,0.99999994,1.9999999
24.999962,2.9999955,2.9999955,3.999994,0.9999985,0.9999985,0.0,0.0,1.999997,0.0
24.999968,2.9999962,2.9999962,3.9999948,0.0,0.9999987,0.9999987,0.0,2.9999962,0.0
24.999996,1.9999996,2.9999995,3.9999993,0.0,0.9999998,0.9999998,0.0,1.9999996,0.0
24.999996,3.0572863,3.0572863,3.9999993,0.057286754,0.9999998,0.9999998,0.0,2.9999995,0.0
24.999998,2.9999998,2.9999998,3.9999998,0.99999994,0.99999994,0.0,0.0,1.9999999,0.0
32.99995,3.999994,3.999994,3.999994,2.9999955,0.0,0.9999985,0.0,1.999997,0.9999985
31.999958,3.9999948,3.9999948,3.9999948,2.9999962,0.0,0.9999987,0.0,0.9999987,1.9999974
32.999992,2.9999995,3.9999993,3.9999993,2.9999995,0.0,0.9999998,0.0,1.9999996,0.9999998
32.05728,3.9999993,3.9999993,3.9999993,2.9999995,0.0,0.9427131,0.0,1.0572866,1.9999996
32.999996,3.9999998,3.9999998,3.9999998,2.9999998,0.0,0.99999994,0.0,1.9999999,0.99999994
24.999962,2.9999955,3.999994,3.999994,2.9999955,0.9999985,0.9999985,0.0,2.9999955,1.999997
25.999966,2.9999962,3.9999948,2.9999962,2.9999962,0.9999987,0.9999987,0.0,2.9999962,1.9999974
25.999996,2.9999995,3.9999993,2.9999995,2.9999995,0.9999998,0.9999998,0.0,1.9999996,0.9999998
25.999996,2.9999995,3.9999993,2.9999995,2.9427128,0.9999998,0.9999998,0.0,2.9999995,1.9427129
24.999998,2.9999998,3.9999998,3.9999998,2.9999998,0.99999994,0.99999994,0.0,2.9999998,1.9999999
36.999947,3.999994,3.999994,3.999994,3.999994,0.9999985,0.9999985,0.0,0.9999985,0.9999985
35.999954,3.9999948,3.9999948,3.9999948,3.9999948,0.9999987,0.9999987,0.0,0.9999987,1.9999974
35.999992,3.9999993,3.9999993,3.9999993,3.9999993,0.9999998,0.9999998,0.0,0.9999998,0.0
36.05728,3.9999993,3.9999993,3.9999993,3.9427125,0.9999998,0.9999998,0.0,0.9999998,1.9427129
36.999996,3.9999998,3.9999998,3.9999998,3.9999998,0.99999994,0.99999994,0.0,0.99999994,0.99999994
28.999956,3.999994,3.999994,3.999994,1.999997,0.9999985,0.9999985,0.0,0.9999985,0.9999985
28.999962,3.9999948,3.9999948,3.9999948,1.9999974,0.9999987,0.9999987,0.0,2.9999962,0.9999987
29.999994,3.9999993,3.9999993,3.9999993,0.9999998,0.9999998,0.0,0.0,0.9999998,0.0
28.999996,3.9999993,3.9999993,3.9427125,1.9999996,0.9999998,0.9427131,0.0,2.885426,0.9999998
28.999998,3.9999998,3.9999998,3.9999998,1.9999999,0.99999994,0.99999994,0.0,0.99999994,0.99999994
23.999964,3.999994,3.999994,3.999994,0.9999985,0.9999985,0.0,0.0,0.9999985,0.9999985
23.99997,3.9999948,3.9999948,2.9999962,0.9999987,0.9999987,0.9999987,0.0,0.9999987,1.9999974
23.999996,3.9999993,3.9999993,3.9999993,0.9999998,0.9999998,0.9999998,0.0,1.9999996,0.9999998
23.999996,3.9999993,3.9999993,3.0572863,0.9999998,0.9999998,0.9999998,0.0,0.9999998,1.9999996
23.999998,3.9999998,3.9999998,3.9999998,0.99999994,0.99999994,0.0,0.0,0.99999994,0.99999994
47.999928,3.999994,3.999994,3.999994,6.9999895,0.0,0.9999985,0.0,0.9999985,0.9999985
47.99994,3.9999948,2.9999962,3.9999948,6.999991,0.9999987,0.0,0.0,1.9999974,0.9999987
47.999992,3.9999993,3.9999993,3.9999993,6.9999986,0.9999998,0.0,0.0,0.9999998,0.9999998
47.942707,3.9999993,3.0572863,3.9999993,7.0572853,0.9999998,0.057286754,0.0,1.9427129,0.9999998
47.999996,3.9999998,3.9999998,3.9999998,6.9999995,0.0,0.99999994,0.0,0.99999994,0.99999994
25.999962,3.999994,3.999994,2.9999955,1.999997,0.9999985,0.9999985,0.0,2.9999955,1.999997
24.999968,3.9999948,3.9999948,2.9999962,1.9999974,0.9999987,0.9999987,0.0,2.9999962,1.9999974
24.999996,3.9999993,2.9999995,2.9999995,1.9999996,0.9999998,0.9999998,0.0,2.9999995,1.9999996
25.057283,3.9999993,3.9999993,2.9999995,1.9999996,0.9999998,0.9427131,0.0,2.9999995,1.9999996
25.999998,3.9999998,3.9999998,2.9999998,1.9999999,0.99999994,0.99999994,0.0,2.9999998,1.9999999
23.999964,2.9999955,3.999994,2.9999955,3.999994,0.9999985,0.9999985,0.0,1.999997,1.999997
24.999968,2.9999962,3.9999948,3.9999948,2.9999962,0.9999987,0.9999987,0.0,1.9999974,1.9999974
24.999996,3.9999993,3.9999993,2.9999995,2.9999995,0.9999998,0.9999998,0.0,2.9999995,1.9999996
25.057283,2.9999995,3.9999993,3.9427125,2.9999995,0.9999998,0.9999998,0.0,1.9999996,1.9427129
23.999998,2.9999998,3.9999998,2.9999998,3.9999998,0.99999994,0.99999994,0.0,1.9999999,1.9999999
46.99993,1.999997,3.999994,1.999997,1.999997,0.9999985,0.9999985,0.9999985,2.9999955,0.0
46.99994,3.9999948,3.9999948,3.9999948,1.9999974,0.9999987,0.9999987,0.0,0.9999987,0.0
47.999992,1.9999996,3.9999993,2.9999995,1.9999996,0.9999998,0.9999998,0.0,0.9999998,0.0
46.999992,3.9427125,3.9427125,3.9999993,1.9999996,0.9999998,0.9999998,0.0,1.0572866,0.0
46.999996,1.9999999,3.9999998,1.9999999,1.9999999,0.99999994,0.99999994,0.99999994,2.9999998,0.0
43.999935,2.9999955,3.999994,3.999994,4.9999924,0.9999985,0.0,0.0,0.9999985,1.999997
43.999943,3.9999948,3.9999948,3.9999948,3.9999948,0.9999987,0.9999987,0.0,0.9999987,0.9999987
43.999992,3.9999993,3.9999993,3.9999993,4.999999,0.9999998,0.0,0.0,0.9999998,0.9999998
43.942703,3.9999993,3.9999993,3.9999993,4.0572863,0.9999998,0.9999998,0.0,0.9999998,1.0572866
43.999996,2.9999998,3.9999998,3.9999998,4.9999995,0.99999994,0.0,0.0,0.99999994,1.9999999
25.999962,1.999997,3.999994,2.9999955,1.999997,0.9999985,0.9999985,0.0,0.9999985,0.9999985
