WifeAge,WifeEducation,HusbandEducation,StandardOfLiving,NumberOfChildren,WifeReligion,WifeWorking,MediaExposure,HusbandOccupation,ContraceptiveMethod
24.0,2,2,1,2,1,1,1,3,0
24.875142609283785,4,4,3,3,1,1,0,3,2
34.18601256190584,4,4,4,2,0,1,0,1,2
44.930825852468885,3,4,4,6,1,1,0,2,0
29.0,2,3,2,4,1,1,0,3,2
19.816718351479373,3,4,3,2,1,1,0,1,2
32.24306488818233,3,2,3,5,1,1,0,3,2
39.729251932699704,4,4,4,6,0,0,0,1,1
31.57268517762077,3,4,4,5,1,1,0,1,2
34.404986897111485,2,3,4,0,1,1,0,2,0
26.461789205227856,3,4,2,3,1,1,0,3,2
25.1966605626765,3,3,3,3,1,1,0,3,2
30.043327393762027,3,4,4,7,1,1,0,2,1
39.42923478269988,1,2,1,2,1,1,1,3,0
21.953598916431893,3,3,4,2,1,1,0,3,0
20.976979271427567,4,4,4,1,1,1,0,3,0
45.03459618432939,4,4,4,3,1,1,0,1,1
41.33941565617139,4,4,4,5,1,1,0,1,2
24.180346961341186,2,2,1,3,1,0,0,2,0
33.0,4,4,3,5,1,1,0,3,0
27.99696869639861,2,3,4,6,1,1,0,2,2
48.007465640738936,1,3,3,4,1,1,1,3,0
26.0,2,4,4,3,1,1,0,3,2
22.054431639951105,3,3,3,2,1,1,0,3,1
19.96250481494632,3,3,2,2,1,1,1,2,2
21.91207051467968,4,4,3,1,1,1,0,3,1
44.03805285375152,1,3,4,10,1,1,0,3,0
30.57773729803177,4,4,4,2,1,1,0,1,0
42.16333162400536,3,2,3,1,1,1,0,3,0
24.7938072150069,3,4,4,2,1,0,0,2,2
33.0,4,4,4,3,0,0,0,2,2
33.0,1,1,1,5,1,1,1,3,0
27.128430866362184,4,4,4,2,1,0,0,1,0
24.0,2,3,3,5,1,1,0,3,2
26.0,4,4,4,1,0,1,0,2,1
44.31244911472585,4,4,4,8,1,1,0,2,2
24.95923723741141,3,4,3,0,1,1,0,1,0
46.177561847616104,4,4,4,4,1,1,0,1,2
38.455684686960254,4,4,4,3,1,0,0,1,2
30.879960628728206,4,4,2,2,1,1,0,3,0
37.0418680128329,3,3,2,11,1,1,0,1,2
37.021942470197885,4,4,4,3,0,1,0,3,2
22.88863994484757,2,4,3,1,1,1,0,3,2
28.137461002115565,3,3,2,3,1,1,0,1,1
43.895574560670454,4,4,3,4,0,1,0,2,2
36.83657895705489,2,3,4,6,1,1,0,3,2
42.295268685056385,1,3,3,12,1,1,0,3,0
26.0,4,4,4,0,1,1,0,3,0
16.0,2,3,1,1,1,1,0,3,2
24.0,2,3,3,5,1,1,0,3,2
39.203264979859696,4,4,4,3,0,0,0,1,1
25.490904441067393,4,4,3,1,0,1,0,2,0
21.864564555083255,3,3,4,2,1,1,0,3,0
43.9218666667839,1,2,1,2,1,1,0,3,0
24.0,2,4,1,1,1,1,0,3,0
21.941069282589424,2,1,2,0,1,1,0,2,0
30.039216969047736,3,4,4,3,1,1,0,3,2
25.12886346423513,2,3,1,2,1,1,0,3,2
21.11485452985796,1,3,2,4,1,1,0,3,0
24.0,2,4,1,1,1,1,0,3,0
33.0,4,4,3,5,1,1,0,3,2
28.297411038592454,2,2,4,1,1,1,0,2,0
38.579254913169294,3,4,2,3,1,1,0,3,2
20.868918092996623,4,4,4,1,1,1,0,3,0
26.0,4,4,2,3,1,1,0,3,1
24.0,3,4,4,3,1,1,0,1,2
44.88430033298984,4,4,4,7,1,1,0,1,1
33.0,3,4,4,8,1,1,0,3,2
29.846536808667608,3,4,2,2,1,1,0,1,2
36.0,2,3,3,5,1,1,0,2,0
33.0,4,4,3,3,1,1,0,3,1
35.342636161936994,4,4,4,2,1,1,0,1,0
42.382205871837996,3,2,3,1,1,1,0,3,0
49.0,1,2,1,8,1,1,1,3,0
29.79058591597208,4,4,4,3,1,1,0,1,1
48.01694830120048,4,4,4,3,1,1,0,2,0
24.0,3,4,2,2,1,1,0,2,0
44.959496607921494,2,4,4,2,1,0,0,2,0
