WifeAge,WifeEducation,HusbandEducation,StandardOfLiving,NumberOfChildren,WifeReligion,WifeWorking,MediaExposure,HusbandOccupation,ContraceptiveMethod
37.999973,3.0,4.0,3.0,2.0,1.0,1.0,0.0,2.0,0.0
41.99996,2.0,3.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0
37.999992,3.0,4.0,4.0,2.0,0.0,1.0,0.0,2.0,0.0
41.48199,3.0,3.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0
37.999992,3.0,4.0,3.0,2.0,1.0,1.0,0.0,2.0,0.0
33.999977,1.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0
33.99997,2.0,2.0,2.0,4.0,0.0,1.0,0.0,3.0,2.0
35.999992,1.0,3.0,2.0,6.0,1.0,1.0,0.0,3.0,2.0
34.0,2.0,3.0,2.0,4.0,0.0,1.0,0.0,3.0,2.0
33.999992,1.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0
44.99997,1.0,3.0,4.0,10.0,1.0,1.0,0.0,3.0,0.0
43.999958,4.0,2.0,3.0,8.0,1.0,1.0,0.0,3.0,0.0
45.999992,1.0,2.0,3.0,8.0,1.0,1.0,1.0,3.0,0.0
43.740993,4.0,3.0,3.0,8.0,1.0,1.0,0.0,3.0,0.0
44.999992,1.0,3.0,4.0,10.0,1.0,1.0,0.0,3.0,0.0
28.99998,1.0,2.0,4.0,7.0,1.0,1.0,0.0,2.0,0.0
28.999973,1.0,2.0,2.0,5.0,1.0,0.0,0.0,1.0,2.0
27.999994,2.0,4.0,3.0,7.0,1.0,1.0,0.0,3.0,2.0
28.481993,1.0,2.0,2.0,5.0,1.0,0.0,0.0,2.0,2.0
28.999994,1.0,2.0,4.0,7.0,1.0,1.0,0.0,2.0,0.0
24.999983,1.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0
24.999977,2.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0
24.999996,3.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0
25.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0
24.999996,1.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0
23.999985,3.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0
23.999977,2.0,2.0,4.0,2.0,1.0,1.0,0.0,3.0,2.0
23.999996,4.0,4.0,3.0,2.0,1.0,1.0,0.0,3.0,2.0
24.0,2.0,2.0,4.0,2.0,1.0,1.0,0.0,3.0,2.0
23.999996,3.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0
21.999985,4.0,4.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0
21.999979,3.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0
21.999996,4.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0
22.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0
21.999996,4.0,4.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0
28.99998,2.0,3.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0
28.999973,3.0,3.0,4.0,4.0,1.0,1.0,0.0,3.0,2.0
28.999994,2.0,3.0,3.0,3.0,1.0,1.0,0.0,3.0,2.0
28.999998,3.0,3.0,3.0,4.0,1.0,1.0,0.0,3.0,2.0
28.999994,2.0,3.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0
36.999977,3.0,4.0,4.0,5.0,1.0,0.0,0.0,2.0,2.0
36.999966,2.0,3.0,2.0,5.0,1.0,1.0,0.0,4.0,2.0
36.999992,2.0,4.0,3.0,4.0,1.0,0.0,0.0,2.0,2.0
37.0,2.0,3.0,3.0,5.0,1.0,1.0,0.0,4.0,2.0
36.999992,3.0,4.0,4.0,5.0,1.0,0.0,0.0,2.0,2.0
21.999985,2.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0
21.999979,4.0,4.0,4.0,2.0,1.0,1.0,0.0,3.0,2.0
21.999996,3.0,4.0,4.0,2.0,0.0,1.0,0.0,3.0,2.0
21.740995,4.0,4.0,4.0,2.0,1.0,1.0,0.0,3.0,2.0
21.999996,2.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0
34.999977,1.0,2.0,4.0,4.0,1.0,0.0,0.0,4.0,2.0
34.999966,3.0,3.0,2.0,4.0,1.0,1.0,0.0,3.0,1.0
34.999992,3.0,4.0,3.0,5.0,1.0,0.0,1.0,1.0,1.0
35.0,3.0,3.0,2.0,4.0,1.0,1.0,0.0,3.0,1.0
34.999992,1.0,2.0,4.0,4.0,1.0,0.0,0.0,4.0,2.0
41.999973,4.0,4.0,4.0,4.0,1.0,1.0,0.0,3.0,1.0
43.999958,4.0,4.0,3.0,4.0,0.0,1.0,0.0,2.0,2.0
43.999992,4.0,4.0,3.0,4.0,1.0,0.0,0.0,2.0,1.0
43.48199,4.0,4.0,3.0,4.0,0.0,1.0,0.0,2.0,2.0
41.999992,4.0,4.0,4.0,4.0,1.0,1.0,0.0,3.0,1.0
27.99998,2.0,2.0,4.0,5.0,1.0,0.0,0.0,2.0,2.0
27.999973,3.0,4.0,4.0,5.0,1.0,1.0,0.0,2.0,2.0
27.999994,4.0,4.0,4.0,5.0,1.0,1.0,0.0,2.0,2.0
27.740995,3.0,3.0,4.0,5.0,1.0,1.0,0.0,2.0,2.0
27.999994,2.0,2.0,4.0,5.0,1.0,0.0,0.0,2.0,2.0
20.999987,3.0,4.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0
18.99998,2.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0
20.999996,3.0,3.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0
19.518003,2.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0
20.999996,3.0,4.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0
32.999977,3.0,3.0,3.0,4.0,1.0,0.0,0.0,2.0,2.0
32.99997,4.0,4.0,3.0,4.0,1.0,1.0,0.0,2.0,2.0
32.999992,2.0,3.0,3.0,4.0,1.0,1.0,0.0,2.0,2.0
33.0,4.0,4.0,3.0,4.0,1.0,1.0,0.0,2.0,2.0
32.999992,3.0,3.0,3.0,4.0,1.0,0.0,0.0,2.0,2.0
35.999977,4.0,4.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0
35.999966,4.0,4.0,4.0,3.0,0.0,1.0,0.0,2.0,1.0
35.999992,3.0,4.0,4.0,3.0,0.0,0.0,0.0,3.0,1.0
36.0,4.0,4.0,4.0,3.0,0.0,1.0,0.0,2.0,1.0
35.999992,4.0,4.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0
24.999983,2.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0
24.999977,2.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0
24.999996,2.0,2.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0
25.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0
24.999996,2.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0
26.999983,2.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0
27.999973,4.0,3.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0
26.999994,4.0,4.0,4.0,2.0,1.0,1.0,0.0,3.0,2.0
27.740995,4.0,3.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0
26.999994,2.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0
29.99998,2.0,2.0,1.0,6.0,1.0,1.0,0.0,3.0,2.0
26.999973,2.0,2.0,1.0,5.0,1.0,1.0,0.0,3.0,2.0
27.999994,2.0,4.0,3.0,7.0,1.0,1.0,0.0,3.0,2.0
