WifeAge,WifeEducation,HusbandEducation,StandardOfLiving,NumberOfChildren,WifeReligion,WifeWorking,MediaExposure,HusbandOccupation,ContraceptiveMethod
29.0,2,4,4,2,1,0,1,4,0
25.0,1,2,3,3,1,1,0,2,2
33.35513997399781,4,4,4,2,1,0,0,1,2
38.99497189147428,3,4,4,6,1,1,0,1,0
29.08036945391922,2,3,2,4,1,1,0,3,2
19.878338176253827,3,4,3,2,1,1,0,1,2
25.0,3,4,4,3,1,0,0,3,2
37.844492683704715,4,4,3,6,1,0,0,3,1
30.98840080121954,3,4,4,5,1,1,0,1,2
36.0,3,4,4,6,1,1,0,2,0
31.93829038686733,3,4,2,4,1,1,0,3,2
25.0,3,3,3,3,1,1,0,3,2
32.54245193759126,3,4,2,5,1,1,0,1,1
39.86748175562425,1,2,1,2,1,1,1,3,0
22.762545098888424,3,3,3,6,1,1,0,3,0
20.983748518817343,4,4,3,1,1,1,0,3,0
43.85899113070461,4,4,4,3,1,1,0,1,1
41.742591734005174,4,4,4,5,1,1,0,1,2
35.692453628270144,2,2,1,6,1,0,1,3,0
38.016152358704176,2,4,3,5,1,1,0,3,0
26.973132843385525,3,3,3,3,1,1,0,2,2
45.00408439533011,1,3,3,1,1,1,1,2,0
33.0,2,4,4,3,1,1,0,2,2
22.08918167616082,3,3,3,2,1,1,0,3,1
22.981725340529366,1,2,2,3,1,1,1,3,2
23.7570389372413,2,4,3,2,1,1,0,1,1
30.10786103237168,2,3,1,1,1,1,0,2,0
30.192098045582924,4,4,4,2,1,1,0,1,0
25.0,4,4,3,1,1,0,0,3,0
25.0,3,4,4,2,1,0,0,2,2
29.82974970915913,3,3,2,3,1,0,0,3,2
40.36928255880111,1,1,4,2,1,0,0,3,0
30.1621553875284,4,4,4,2,1,1,0,1,0
26.0,1,2,2,3,1,0,0,3,2
29.0,4,4,4,1,0,1,0,2,1
41.47555557401263,4,4,4,8,1,1,0,1,2
26.849760195588093,2,4,3,1,1,0,0,1,0
42.22036895682277,4,4,4,5,1,1,0,1,2
36.724720878267995,4,4,4,3,1,0,0,1,2
39.585205778923665,2,2,2,6,1,1,1,2,0
37.166441439224606,3,3,2,11,1,1,0,1,2
37.25113690735981,4,4,4,3,0,1,0,3,2
24.60972970017182,2,4,3,3,1,1,0,3,2
22.049003798886055,3,3,3,2,1,1,0,3,1
36.0,4,4,4,3,0,1,0,2,2
36.85513483186451,2,3,4,6,1,1,0,3,2
42.179263891303506,1,3,3,12,1,1,0,3,0
37.01683733535303,1,3,4,0,1,1,0,3,0
16.0,2,3,1,1,1,1,0,3,2
25.0,2,3,3,5,1,1,0,2,2
40.952060793728975,4,4,4,4,0,0,0,2,1
41.18695924198718,2,4,3,1,1,1,0,2,0
21.869772053707067,2,4,4,1,1,1,0,3,0
43.9067500082382,1,2,1,2,1,1,0,3,0
33.85606954657705,3,4,3,4,1,1,0,1,0
22.051713045154568,4,4,4,0,1,0,0,2,0
26.193536085946455,3,4,3,3,1,1,0,3,2
28.135109940856243,3,4,4,5,1,1,0,2,2
21.154149773678856,1,3,2,4,1,1,0,3,0
32.46861166396401,2,4,3,2,1,1,0,3,0
33.0,4,4,3,5,1,1,0,3,2
25.0,3,3,4,1,1,0,0,2,0
33.0,3,3,3,3,1,1,0,3,2
20.82718123743478,4,4,3,1,1,1,0,3,0
29.0,4,4,3,3,1,0,0,3,1
31.055076295682028,3,4,4,5,1,1,0,1,2
43.14216648117302,4,4,4,5,1,1,0,1,1
29.748343880301192,3,2,3,3,1,1,0,3,2
31.869463442690744,3,4,2,4,1,1,0,3,2
38.27683849144424,2,1,1,5,1,1,1,2,0
29.905339576437115,2,4,4,3,1,1,0,3,1
32.75575550015951,4,4,4,1,1,1,0,1,0
39.777026626272615,3,4,3,8,1,1,0,3,0
49.0,1,2,1,8,1,1,1,3,0
35.82715225634127,4,4,4,3,1,0,0,1,1
48.01954767303317,4,4,4,3,1,1,0,2,0
23.927868108240773,3,4,2,2,1,1,0,2,0
44.83239278907164,2,4,3,2,1,1,0,2,0
28.142723807450793,4,4,2,1,1,1,0,3,2
38.12245676324194,3,3,1,7,1,1,0,3,0
36.0,2,3,2,2,1,1,1,3,0
27.934951705082298,2,3,1,1,1,1,0,3,0
23.00132366159012,3,4,3,1,1,1,0,2,2
35.04086817665329,2,3,3,8,1,1,1,3,0
35.0296542789778,4,4,4,3,1,1,0,1,1
21.968546894720795,3,4,4,2,1,1,0,2,2
21.95693383830072,4,4,2,0,1,1,0,3,0
35.22201098066566,3,3,2,4,1,1,0,3,1
36.0,3,4,4,4,0,0,0,2,1
24.10098187472377,2,2,4,2,1,1,0,3,2
22.898386310519598,3,4,4,2,1,1,0,3,0
23.704148097477788,4,4,4,1,1,1,0,3,1
18.005689440872278,3,4,4,1,1,1,0,3,1
21.004434731284455,3,3,3,2,1,1,0,2,2
49.0,4,4,2,6,1,1,0,1,0
30.82480359726526,2,2,3,4,1,1,0,3,2
37.79179897266572,3,4,3,7,0,1,0,2,1
30.933474782189165,4,4,4,0,0,0,0,2,0
25.0,4,4,4,1,1,0,0,1,1
30.000529739245216,2,3,1,3,1,1,0,3,0
20.01042001084528,4,4,4,0,0,0,0,2,0
26.0,3,4,3,3,1,1,0,3,2
37.75477972914598,2,4,3,3,1,1,0,1,0
32.059702259686176,2,3,4,4,0,1,0,2,0
43.90106669590615,4,4,4,5,0,1,0,2,0
42.62739761914952,3,3,4,4,1,1,0,2,0
26.248753510426248,4,4,4,3,1,0,0,3,2
33.85766285549739,4,4,4,2,0,1,0,1,0
43.6102385841138,1,2,1,2,1,1,0,3,0
27.023113117610787,3,3,2,3,1,1,0,2,2
36.0,2,2,2,7,1,0,1,2,2
27.87471136730432,4,4,4,2,1,1,0,1,2
34.922117575569395,4,3,4,2,0,1,0,3,2
19.062007847966438,4,4,4,2,1,1,0,1,2
44.00398055236526,4,4,4,5,0,1,0,2,0
49.0,1,2,2,5,1,0,1,2,0
30.14228146406424,1,3,4,1,1,1,0,3,0
28.186257018881815,4,3,2,2,1,1,0,3,2
19.052081705001918,2,2,1,2,1,1,0,3,0
35.2011816488932,1,3,3,7,1,0,1,2,1
30.757578735694626,2,3,2,4,1,1,0,3,2
33.0,4,4,4,3,1,1,0,1,0
25.0,2,4,4,2,1,1,0,2,2
30.075168618202056,4,4,2,1,1,0,0,3,2
23.808432649720594,3,3,2,2,1,0,0,3,0
22.11735780647609,4,4,3,1,1,1,0,2,2
29.0,4,4,3,3,0,1,0,3,1
41.939534504731796,4,4,4,0,0,0,0,3,0
28.3268566145218,4,4,2,4,1,1,1,1,2
31.990839339800125,2,3,3,1,1,1,0,3,0
29.83995774289949,4,4,2,1,1,0,0,3,2
39.489929894450455,3,4,3,8,1,1,0,3,0
36.0,4,4,4,4,0,1,0,1,1
41.126671653653105,4,4,3,3,1,0,0,2,1
27.398709113586236,2,2,3,5,1,1,0,3,2
30.009351073342184,2,3,3,3,1,1,0,3,2
30.021082625976803,4,4,4,1,0,1,0,2,1
30.06216417543861,4,4,4,3,1,1,0,1,2
26.0,2,4,3,1,1,1,0,1,0
38.29459871792261,4,4,4,4,0,1,0,1,1
31.97363421433367,4,4,4,3,1,1,0,1,2
41.21330895807753,4,4,4,5,1,1,0,1,2
25.0,2,3,2,2,1,1,0,3,0
25.01016348501381,3,3,1,1,1,1,0,3,0
26.0,3,3,3,2,1,1,0,1,1
26.0,3,4,3,3,1,1,0,3,2
32.863374340521304,2,2,2,1,1,1,0,3,0
29.0,4,4,4,3,1,1,0,1,2
42.0221361480652,4,4,4,3,1,1,0,1,0
19.870267950320308,4,4,4,1,1,1,0,1,0
43.96014201278413,4,2,3,8,1,1,0,3,0
37.636946718199816,4,4,4,1,1,0,0,1,0
40.95789609175469,4,4,4,2,1,1,0,1,0
45.003695234405136,1,3,2,3,1,1,0,3,2
26.0,3,3,3,2,1,1,0,1,1
42.8427383520313,4,4,4,5,1,1,0,1,0
39.357958665352456,3,4,3,6,1,1,0,1,2
18.854635962574683,2,2,1,2,1,1,0,3,0
23.95533002018818,4,4,3,2,1,0,0,3,2
24.01745683928775,2,2,4,2,1,1,0,3,2
21.95192589620481,2,4,3,0,1,1,0,3,0
42.905865448194184,2,3,4,7,1,1,0,3,0
30.155408398933503,4,4,3,2,0,0,0,3,2
33.005107902754204,4,4,3,1,0,0,0,2,0
26.0,2,3,3,2,1,1,0,3,0
31.773030879637012,2,3,2,4,1,0,0,2,2
47.91756152761317,1,3,2,5,1,1,0,3,0
42.704565288061595,1,2,4,8,1,1,0,2,0
43.175454527416704,4,4,4,5,0,1,0,1,1
23.993905880835015,4,4,2,1,1,1,0,3,1
39.20561185654812,2,3,4,10,1,1,0,3,0
27.091578394767616,4,4,2,1,1,1,0,1,0
29.90832339100563,2,4,4,3,1,1,0,3,1
41.490026371046774,4,3,4,7,1,0,0,1,1
41.853028532669704,4,4,4,5,0,1,0,2,2
36.0,3,3,3,3,0,0,1,2,0
33.0,4,4,3,3,0,0,0,1,0
39.280952360678484,1,2,3,12,1,1,0,2,0
32.54900061703161,4,4,4,3,1,1,0,1,0
46.46073194964925,1,2,4,2,1,1,0,2,0
25.0,3,4,3,2,1,1,0,3,2
33.94517866844447,2,2,2,4,0,1,0,3,2
29.872809568550753,4,4,4,2,1,1,0,1,0
37.09472297081332,4,3,4,8,1,1,0,1,1
35.736320503966326,4,4,3,1,1,1,0,1,0
40.98920209086304,4,4,4,8,1,1,0,1,2
20.89111674105906,3,3,2,1,1,1,0,3,2
31.054155681046282,3,3,3,2,1,0,0,3,0
29.86769899217021,4,4,2,1,1,0,0,3,2
23.08624629252943,3,4,1,4,1,1,1,3,0
26.0,2,3,4,1,1,0,1,3,0
36.0,2,4,4,8,1,1,0,1,2
35.66332447257745,4,4,4,3,1,1,0,1,2
27.95852426871808,4,4,4,5,1,1,0,2,2
26.8857824706801,2,4,4,4,1,1,0,3,2
38.59142421364267,3,4,4,1,0,1,0,3,0
29.860302512733284,3,4,4,3,1,1,0,3,2
17.811396828404416,3,4,1,0,1,0,0,3,0
29.738325009743825,2,2,3,6,1,0,0,2,2
25.0,2,4,3,3,1,1,0,1,2
25.0,2,4,4,2,1,1,0,2,2
49.0,4,3,3,5,1,1,0,2,0
40.67621310559491,4,4,4,2,1,1,0,1,0
46.949628668742015,4,4,4,1,1,1,0,1,0
40.102533159837506,4,4,4,3,0,1,0,3,0
42.861056762132705,3,3,4,4,1,1,0,2,0
25.0,2,3,1,1,1,0,0,2,0
23.52434649971177,3,3,3,2,1,1,0,3,0
25.0,3,3,1,1,1,1,0,2,2
29.751452835936924,4,4,3,0,0,0,0,1,0
29.0,1,2,4,7,1,1,0,2,0
25.0,2,4,4,2,1,1,0,2,2
32.53399272733716,2,3,2,4,1,1,0,3,2
36.23826758524352,3,4,4,0,1,1,0,3,0
22.770576303617275,4,4,4,1,1,0,0,3,1
37.85046495148694,3,4,3,2,1,1,0,2,0
42.05708992247795,2,3,4,7,1,1,0,3,1
19.88300059414923,3,4,3,0,1,1,0,3,0
36.924750631217975,4,4,4,5,0,0,0,2,2
21.433773546065208,4,4,2,1,1,1,0,1,1
44.65145498178532,3,4,4,3,1,1,0,1,0
35.60876371323223,4,4,4,2,1,0,0,1,2
18.951915232637134,2,2,1,2,1,1,0,3,0
35.91778130512878,4,4,4,4,1,1,0,1,2
40.13869143312997,1,1,2,0,1,1,0,3,0
22.98464554562608,3,3,2,1,1,1,0,2,2
19.140850679420335,4,4,4,1,1,1,0,2,2
45.83884545850779,3,4,4,3,1,1,0,1,0
38.9628827351616,2,3,4,10,1,1,0,3,0
17.98021719126763,3,4,3,1,1,1,0,3,0
40.985305112060885,4,4,4,6,0,1,0,1,1
36.24671266229857,4,4,4,6,1,1,0,1,2
34.180676738056064,4,4,2,2,0,0,0,3,1
25.04444271018253,4,4,4,1,1,0,0,1,1
25.0,3,4,4,3,1,1,0,3,2
25.0,4,4,4,1,1,1,0,1,1
36.0,4,4,4,3,1,0,0,1,2
37.15833345033738,2,3,3,9,1,1,0,3,2
31.85462574967243,3,4,4,5,0,1,0,1,2
22.951940157172487,3,3,3,2,1,1,0,3,0
25.0,4,4,3,1,0,1,0,2,0
48.99999382763243,1,2,1,8,1,1,1,3,0
24.001551395470514,4,4,3,1,1,1,0,3,0
41.989413169567655,2,3,4,2,1,1,0,1,0
28.13498643530671,3,4,2,0,1,1,0,3,0
36.96604040657259,2,3,4,6,1,1,0,3,2
29.0,4,4,4,2,1,1,0,1,2
42.687168730141835,3,3,2,6,1,0,0,3,1
45.02906282020747,3,4,4,3,1,1,0,1,0
30.420207980954373,4,1,3,4,1,1,0,3,1
20.981797800083744,4,4,1,1,1,1,0,2,1
25.0,3,3,3,2,1,1,0,2,2
25.0,4,4,3,2,1,1,0,1,2
25.0,2,3,2,2,1,1,0,3,0
32.19605078734486,4,4,4,3,1,1,0,1,0
21.1255772383083,3,3,3,2,1,1,0,2,2
36.0,4,4,3,3,0,1,0,1,1
23.626506986934935,4,4,4,2,1,0,0,2,2
29.581194300955932,2,4,4,2,1,1,0,3,0
29.0,2,3,3,7,1,1,0,3,2
29.0,3,4,3,1,0,1,0,2,0
33.0,3,3,2,4,1,0,0,2,2
33.0,4,4,4,4,1,1,0,1,1
33.936775620645946,1,2,4,5,1,1,0,3,1
30.91804824507551,1,1,2,6,1,1,0,3,0
27.900493568221837,4,4,3,4,1,1,0,2,2
19.851429754631006,4,4,4,0,0,0,0,2,0
35.0724255934689,4,4,4,3,0,0,0,3,1
36.0,2,4,4,11,1,1,1,1,2
23.10777656663891,4,4,4,2,1,1,0,1,0
16.000014608216187,2,4,4,1,1,1,0,3,0
36.0,3,4,4,6,1,1,0,2,0
36.28080919649585,4,4,4,3,1,0,0,1,1
20.001110351710484,4,4,4,1,1,1,0,1,0
30.962384945631904,2,2,3,4,1,1,0,3,2
27.016112954386056,3,4,3,0,1,0,0,3,0
36.877617622225,2,3,4,6,1,1,0,3,2
34.0975335518397,1,3,4,4,1,0,0,3,0
26.0,2,2,4,4,1,1,0,3,1
41.18361248693112,2,3,3,1,1,0,0,2,0
36.908529897701456,2,3,4,5,0,0,0,2,0
21.049238140428628,4,4,1,1,1,1,0,3,2
26.0,3,4,3,2,1,1,0,3,1
21.17118613260686,4,4,3,1,1,1,0,2,2
38.410440945265535,4,4,4,3,1,1,0,1,1
26.91647974049576,3,3,4,2,1,1,0,3,1
45.19341679944854,1,2,3,6,1,1,1,3,0
49.0,3,4,4,5,1,1,0,1,0
30.911066470540632,2,4,2,5,1,1,0,3,0
32.11139418418779,4,4,4,4,0,0,0,2,1
49.0,1,2,2,5,1,0,1,2,0
26.0,4,4,4,3,1,1,0,1,0
