metric,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Student-T-test,0.0001,0.3398,0.2351,0.2601,0.0697,0.0,0.003
KL divergence,0.0019,0.0049,0.0005,0.0006,0.004,0.0081,0.0013
PropensityScore,0.0528,0.0048,0.0061,0.0028,0.0081,0.0054,0.0098
PredictRealOrSyn,0.0502,0.0084,0.0068,0.0262,0.0188,0.0065,0.0161
Log Cluster Metric,0.8017,0.0282,1.6137,2.9486,0.301,0.0451,2.5489
Feature Correlations Difference,0.0012,0.0013,0.0008,0.0015,0.0006,0.0012,0.0016
Cross-validation,0.0078,0.0188,0.0447,0.0027,0.0153,0.0081,0.0176
F-1 score,0.0676,0.0579,0.054,0.0381,0.0532,0.0795,0.1176
Geometric Mean,0.0663,0.0627,0.0476,0.0402,0.0408,0.0812,0.096
Feature-consistency,0.0034,0.0048,0.0043,0.0056,0.0022,0.0057,0.009
EuclideanDistance_Mean,0.0011,0.001,0.0024,0.0024,0.0051,0.0005,0.0055
EuclideanDistance_Std,0.0042,0.0047,0.0083,0.0085,0.0167,0.0022,0.0187
HausdorffDistance,0.2996,0.0681,0.8737,0.4657,0.667,0.0837,0.2455
CosineSimilarity,0.0003,0.0001,0.0002,0.0001,0.0002,0.0001,0.0007
