Dataset Name,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Heart failure,0.0014,0.0005,0.0021,0.0021,0.0015,0.0002,0.0006
Heart disease,0.001,0.0,0.0026,0.0021,0.0014,-0.0001,0.0013
Lung cancer,0.0004,0.0003,0.0008,0.0007,0.0007,0.0002,0.0008
Migraine,0.0126,0.0008,0.0283,0.0268,0.0156,0.0007,0.0283
Liver cirrhosis,0.0029,0.0005,0.0063,0.009,0.0046,-0.0001,0.0033
Indian liver patients,0.0087,0.0025,0.0167,0.0144,0.0118,0.0002,0.0137
Pima Indian diabetes,0.0036,0.0007,0.0032,0.007,0.0046,0.0008,0.0072
Contraceptive methods,0.0037,0.0001,0.0058,0.0056,0.0065,-0.0,0.0057
Obesity,0.0027,0.0002,0.0069,0.0065,0.0049,0.0001,0.0066
Stroke,0.0073,0.002,0.0078,0.0071,0.0072,0.0012,0.008
