Dataset Name,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Heart failure,0.0003,0.0002,0.0018,0.0004,0.0006,0.0,0.0006
Heart disease,0.0002,0.0001,0.0004,0.0006,0.0002,0.0001,0.0008
Lung cancer,0.0001,0.0,0.0002,0.0002,0.0001,0.0001,0.0002
Migraine,0.0009,0.0003,0.0017,0.0012,0.0018,0.0002,0.0034
Liver cirrhosis,0.0004,0.0002,0.0044,0.0005,0.0003,0.0001,0.0011
Indian liver patients,0.0007,0.0006,0.0022,0.0011,0.0011,0.0001,0.0007
Pima Indian diabetes,0.0009,0.0006,0.0038,0.0005,0.0008,0.0002,0.0008
Contraceptive methods,0.0003,0.0001,0.0002,0.0001,0.0002,0.0001,0.0007
Obesity,0.0003,0.0,0.0002,0.0003,0.0005,0.0001,0.0002
Stroke,0.0003,0.0002,0.0002,0.0002,0.0001,0.0,0.0003
