Dataset Name,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Heart failure,4.9531,4.993,4.942,4.9311,4.9121,4.991,4.9345
Heart disease,5.1924,5.2119,5.1366,5.1587,5.1529,5.2106,5.1457
Lung cancer,5.5945,5.5626,5.5489,5.5664,5.5828,5.5979,5.5476
Migraine,5.691,5.8722,5.3888,5.3889,5.3207,5.9271,5.3969
Liver cirrhosis,5.9765,6.0069,5.9288,5.8836,5.8782,6.0223,5.8941
Indian liver patients,4.3166,4.3589,4.1715,4.2418,4.1903,4.4614,4.2315
Pima Indian diabetes,4.0662,4.1075,4.0735,4.0208,4.0359,4.1043,4.0037
Contraceptive methods,4.3373,4.3691,4.2912,4.302,4.2793,4.3686,4.2914
Obesity,5.6675,5.6222,5.5674,5.5818,5.5813,5.7105,5.568
Stroke,4.4574,4.5345,4.4392,4.4534,4.4029,4.5392,4.4361
