Dataset Name,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Heart failure,1.2103,1.0342,1.249,1.2969,1.3632,1.044,1.2843
Heart disease,1.0189,0.9143,1.2709,1.1777,1.1906,0.9215,1.233
Lung cancer,0.8377,0.8099,1.0999,1.0074,0.9121,0.8142,1.1062
Migraine,2.5685,2.0256,3.0241,2.9861,2.9761,2.0152,3.0443
Liver cirrhosis,1.5093,1.31,1.6851,1.8387,1.8562,1.3159,1.8053
Indian liver patients,1.8343,1.4818,2.1437,2.0016,2.1055,1.4476,2.0231
Pima Indian diabetes,1.2105,1.0621,1.1783,1.3538,1.3079,1.0744,1.4034
Contraceptive methods,1.0898,0.9545,1.2594,1.2219,1.2991,0.9569,1.2583
Obesity,1.3706,1.1793,1.733,1.6862,1.6857,1.179,1.7312
Stroke,1.4597,1.1992,1.5144,1.472,1.6168,1.1812,1.5234
