Dataset Name,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Heart failure,0.0472,0.0151,0.1393,0.0473,0.123,0.0107,0.0302
Heart disease,0.0271,0.0066,0.0198,0.036,0.1868,0.0106,0.048
Lung cancer,0.0069,0.0129,0.0253,0.0232,0.0201,0.0081,0.0059
Migraine,0.1343,0.084,0.134,0.2162,0.1558,0.077,0.0755
Liver cirrhosis,0.0617,0.0225,0.1035,0.0589,0.0377,0.0211,0.0249
Indian liver patients,0.0524,0.0434,0.0538,0.0327,0.0938,0.0133,0.0413
Pima Indian diabetes,0.0299,0.0134,0.1464,0.0202,0.0289,0.0078,0.025
Contraceptive methods,0.0042,0.0047,0.0083,0.0085,0.0167,0.0022,0.0187
Obesity,0.0223,0.0073,0.0182,0.0238,0.0875,0.0077,0.0147
Stroke,0.0242,0.0106,0.0176,0.0122,0.0201,0.0079,0.0159
