Dataset Name,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Heart failure,0.3902,0.2252,0.3132,0.0816,0.2074,0.384,0.0586
Heart disease,0.0568,0.1554,0.1824,0.1771,0.1876,0.2015,0.2338
Lung cancer,0.0,0.0,0.0,0.0,0.0,0.1829,0.0
Migraine,0.2547,0.0374,0.0585,0.1615,0.1547,0.0578,0.1365
Liver cirrhosis,0.0813,0.1132,0.1107,0.0896,0.0798,0.0905,0.0904
Indian liver patients,0.3684,0.0968,0.0,0.179,0.2694,0.1137,0.0114
Pima Indian diabetes,0.125,0.1454,0.093,0.0342,0.063,0.1876,0.0194
Contraceptive methods,0.1427,0.1192,0.0754,0.1078,0.0928,0.1318,0.0991
Obesity,0.0246,0.0379,0.0292,0.0752,0.0501,0.0194,0.0432
Stroke,0.2155,0.1432,0.1794,0.3884,0.2722,0.2736,0.2598
