Dataset Name,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Heart failure,0.1503,0.2347,0.204,0.1156,0.2293,0.2076,0.1311
Heart disease,0.0467,0.1851,0.1149,0.13,0.1965,0.2047,0.1309
Lung cancer,0.0,0.0,0.0,0.0,0.0,0.409,0.0
Migraine,0.2214,0.0425,0.0547,0.1998,0.2246,0.0457,0.1557
Liver cirrhosis,0.0952,0.0617,0.067,0.0435,0.0549,0.0527,0.0484
Indian liver patients,0.1917,0.1911,0.0,0.2453,0.2367,0.2058,0.0254
Pima Indian diabetes,0.1535,0.1601,0.1677,0.028,0.0885,0.1343,0.0132
Contraceptive methods,0.0676,0.0579,0.054,0.0381,0.0532,0.0795,0.1176
Obesity,0.0307,0.0277,0.0248,0.0703,0.0515,0.0231,0.0268
Stroke,0.2747,0.187,0.1901,0.3643,0.3621,0.2453,0.2478
