Dataset Name,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Heart failure,0.0499,0.0507,0.24,0.0451,0.049,0.0537,0.2308
Heart disease,0.1097,0.0985,0.0614,0.0444,0.0967,0.0991,0.2775
Lung cancer,0.0132,0.0132,0.0067,0.0092,0.0116,0.0132,0.008
Migraine,0.0364,0.0401,0.0127,0.0198,0.0419,0.0398,0.0114
Liver cirrhosis,0.1037,0.1005,0.2698,0.0434,0.0981,0.0996,0.2316
Indian liver patients,0.1066,0.1027,0.0675,0.0253,0.0808,0.1032,0.0268
Pima Indian diabetes,0.0993,0.1077,0.2657,0.0342,0.0767,0.1031,0.0416
Contraceptive methods,0.0204,0.0215,0.0069,0.009,0.0147,0.0214,0.0075
Obesity,0.0903,,0.0109,0.009,0.0779,0.0887,0.0112
Stroke,0.0453,0.0969,0.0049,0.0156,0.048,0.0932,0.0343
