Dataset Name,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Heart failure,0.006,0.0043,0.15,0.0043,0.0048,0.0061,0.0119
Heart disease,0.0097,0.0086,0.0406,0.0087,0.0093,0.0062,0.0088
Lung cancer,0.0008,0.0008,0.0005,0.0008,0.0008,0.001,0.0011
Migraine,0.0008,0.0004,0.0023,0.002,0.002,0.0005,0.0013
Liver cirrhosis,0.0046,0.005,0.1272,0.0043,0.0023,0.0027,0.0119
Indian liver patients,0.0176,,0.0391,0.004,0.0049,0.0044,0.0048
Pima Indian diabetes,0.0105,0.0086,0.1211,0.0127,0.0094,0.0102,0.0137
Contraceptive methods,0.0012,0.0013,0.0008,0.0015,0.0006,0.0012,0.0016
Obesity,0.004,,0.0082,0.0026,0.0051,0.0008,0.002
Stroke,0.0183,0.0044,0.0018,0.0019,0.0047,0.0018,0.0029
