Dataset Name,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Heart failure,0.0352,0.0289,0.0247,0.0254,0.0374,0.0361,0.0212
Heart disease,0.0261,0.0304,0.0259,0.0222,0.025,0.0299,0.0206
Lung cancer,0.0188,0.0174,0.0177,0.0214,0.019,0.0175,0.0171
Migraine,0.0196,0.0211,0.0143,0.0139,0.0196,0.0193,0.0135
Liver cirrhosis,0.0216,0.0197,0.0232,0.024,0.0221,0.0206,0.0222
Indian liver patients,0.0173,0.0215,0.0144,0.0177,0.021,0.0207,0.018
Pima Indian diabetes,0.0216,0.0189,0.0237,0.0152,0.0204,0.0193,0.0141
Contraceptive methods,0.0254,0.0212,0.0186,0.0201,0.0221,0.0218,0.0208
Obesity,0.0196,0.0212,0.0095,0.0144,0.0197,0.0209,0.0117
Stroke,0.0023,0.0022,0.0025,0.002,0.0022,0.0021,0.0024
