Dataset Name,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Heart failure,0.0129,0.0071,0.0078,0.0044,0.0103,0.0208,0.0106
Heart disease,0.0045,0.0088,0.005,0.0059,0.0075,0.0064,0.0037
Lung cancer,0.0089,0.0052,0.0042,0.0077,0.0066,0.0061,0.0047
Migraine,0.0038,0.0048,0.0034,0.0028,0.0061,0.0045,0.0015
Liver cirrhosis,0.0062,0.0049,0.0078,0.0047,0.0074,0.0064,0.0043
Indian liver patients,0.0041,0.0087,0.0033,0.0027,0.0066,0.0044,0.0032
Pima Indian diabetes,0.0053,0.0042,0.0085,0.0041,0.0058,0.0054,0.0063
Contraceptive methods,0.0034,0.0048,0.0043,0.0056,0.0022,0.0057,0.009
Obesity,0.0024,0.0026,0.0022,0.0044,0.0061,0.0031,0.0032
Stroke,0.0009,0.001,0.0003,0.0008,0.0005,0.0008,0.0003
