Dataset Name,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Heart failure,0.3961,0.2184,0.3012,0.0809,0.1985,0.3939,0.0542
Heart disease,0.0462,0.1532,0.1752,0.1788,0.1985,0.1987,0.2543
Lung cancer,0.0,0.0,0.0,0.0,0.0,0.1816,0.0
Migraine,0.2489,0.0403,0.0601,0.1689,0.1661,0.0611,0.1472
Liver cirrhosis,0.0801,0.1217,0.109,0.0844,0.0855,0.0846,0.0949
Indian liver patients,0.3448,0.0956,0.0,0.1685,0.2407,0.1117,0.0102
Pima Indian diabetes,0.1231,0.1563,0.088,0.0363,0.0577,0.1805,0.0379
Contraceptive methods,0.1279,0.0877,0.0694,0.1036,0.0742,0.1127,0.0852
Obesity,0.0265,0.0439,0.0331,0.0732,0.0514,0.0227,0.0411
Stroke,0.1825,0.12,0.1653,0.3545,0.2365,0.2336,0.2228
