Dataset Name,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Heart failure,0.1491,0.2275,0.1965,0.1132,0.2215,0.1677,0.1212
Heart disease,0.0512,0.1758,0.0809,0.1379,0.1768,0.1923,0.1101
Lung cancer,0.0,0.0,0.0,0.0,0.0,0.4061,0.0
Migraine,0.226,0.0487,0.0516,0.2038,0.2309,0.0473,0.1624
Liver cirrhosis,0.0928,0.0666,0.0723,0.0478,0.0648,0.0486,0.0536
Indian liver patients,0.1808,0.1828,0.0,0.2307,0.2195,0.198,0.0228
Pima Indian diabetes,0.1316,0.134,0.1557,0.025,0.0846,0.0946,0.0358
Contraceptive methods,0.0663,0.0627,0.0476,0.0402,0.0408,0.0812,0.096
Obesity,0.0331,0.0288,0.0238,0.0697,0.0488,0.0242,0.0281
Stroke,0.2288,0.1567,0.17,0.3503,0.3209,0.2035,0.2052
