Dataset Name,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Heart failure,5.093,3.7762,4.8927,5.8398,7.4876,3.8801,4.0133
Heart disease,4.8012,4.0074,4.0049,4.5525,8.9411,4.1651,4.289
Lung cancer,4.7818,4.6461,2.9274,4.6183,5.8121,4.6356,3.2669
Migraine,9.9719,5.0409,4.0682,11.4103,14.4556,5.106,5.908
Liver cirrhosis,6.1821,4.9206,7.9375,6.6042,11.5173,4.9421,5.2106
Indian liver patients,7.8457,4.2079,7.7435,5.4464,10.4377,3.9133,4.695
Pima Indian diabetes,4.0911,3.1182,3.8101,4.1014,5.1872,3.0839,2.76
Contraceptive methods,4.1404,3.2601,1.7427,4.1487,4.3843,3.1784,3.881
Obesity,6.2905,4.5617,1.9693,5.8238,16.9122,4.6154,3.4346
Stroke,4.0483,3.9562,1.9097,3.7814,7.709,3.8569,2.9069
