metric,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Student-T-test,0.0016,0.0479,0.2058,0.1126,0.0233,0.0003,0.027
KL divergence,0.0057,0.0073,0.002,0.0017,0.0058,0.0155,0.0042
PropensityScore,0.0646,0.0081,0.0237,0.0111,0.0146,0.0,0.0142
PredictRealOrSyn,0.0842,0.0133,0.0464,0.0339,0.0447,0.0,0.0244
Log Cluster Metric,1.9831,1.5301,1.6967,0.3241,0.9031,0.0094,2.7151
Feature Correlations Difference,0.0097,0.0086,0.0406,0.0087,0.0093,0.0062,0.0088
Cross-validation,0.0464,0.0234,0.0194,0.0379,0.0169,0.0265,0.015
F-1 score,0.0467,0.1851,0.1149,0.13,0.1965,0.2047,0.1309
Geometric Mean,0.0512,0.1758,0.0809,0.1379,0.1768,0.1923,0.1101
Feature-consistency,0.0045,0.0088,0.005,0.0059,0.0075,0.0064,0.0037
EuclideanDistance_Mean,0.0053,0.0011,0.0049,0.0082,0.0454,0.0019,0.0114
EuclideanDistance_Std,0.0271,0.0066,0.0198,0.036,0.1868,0.0106,0.048
HausdorffDistance,0.6071,0.1201,0.7164,0.2369,4.586,0.1107,0.2686
CosineSimilarity,0.0002,0.0001,0.0004,0.0006,0.0002,0.0001,0.0008
