metric,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Student-T-test,0.1126,0.0683,0.0974,0.1646,0.118,0.0341,0.0186
KL divergence,0.0021,0.0043,0.022,0.0011,0.0017,0.0063,0.0029
PropensityScore,0.0661,0.0569,0.2055,0.0138,0.0061,0.0,0.0147
PredictRealOrSyn,0.0692,0.0544,0.2018,0.0268,0.0154,0.0013,0.0186
Log Cluster Metric,7.425,2.1387,1.8889,1.6575,6.6653,0.0043,1.8695
Feature Correlations Difference,0.006,0.0043,0.15,0.0043,0.0048,0.0061,0.0119
Cross-validation,0.0444,0.0037,0.0467,0.041,0.0342,0.0606,0.0113
F-1 score,0.1503,0.2347,0.204,0.1156,0.2293,0.2076,0.1311
Geometric Mean,0.1491,0.2275,0.1965,0.1132,0.2215,0.1677,0.1212
Feature-consistency,0.0129,0.0071,0.0078,0.0044,0.0103,0.0208,0.0106
EuclideanDistance_Mean,0.0115,0.0031,0.035,0.0122,0.0328,0.0022,0.0078
EuclideanDistance_Std,0.0472,0.0151,0.1393,0.0473,0.123,0.0107,0.0302
HausdorffDistance,0.6287,0.2126,0.7601,1.3757,2.3728,0.1723,0.2336
CosineSimilarity,0.0003,0.0002,0.0018,0.0004,0.0006,0.0,0.0006
