metric,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Student-T-test,0.0478,0.0475,0.1885,0.1198,0.0455,0.0003,0.1124
KL divergence,0.0108,0.0129,0.0003,0.0011,0.0051,0.0063,0.0004
PropensityScore,0.0354,0.0261,0.0121,0.0044,0.0201,0.0002,0.0058
PredictRealOrSyn,0.0199,0.021,0.0505,0.0383,0.0307,0.0007,0.0305
Log Cluster Metric,7.6218,8.5859,1.3568,0.7773,1.4557,0.0043,1.1709
Feature Correlations Difference,0.0176,,0.0391,0.004,0.0049,0.0044,0.0048
Cross-validation,0.0217,0.0181,0.0427,0.0116,0.0178,0.0191,0.0346
F-1 score,0.1917,0.1911,0.0,0.2453,0.2367,0.2058,0.0254
Geometric Mean,0.1808,0.1828,0.0,0.2307,0.2195,0.198,0.0228
Feature-consistency,0.0041,0.0087,0.0033,0.0027,0.0066,0.0044,0.0032
EuclideanDistance_Mean,0.0223,0.0578,0.0276,0.0155,0.0463,0.0043,0.0196
EuclideanDistance_Std,0.0524,0.0434,0.0538,0.0327,0.0938,0.0133,0.0413
HausdorffDistance,1.1538,1.1968,0.834,0.7716,1.4246,0.1284,0.4571
CosineSimilarity,0.0007,0.0006,0.0022,0.0011,0.0011,0.0001,0.0007
