Dataset Name,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Heart failure,0.0056,0.0307,0.0228,0.0033,0.0027,0.0313,0.0059
Heart disease,0.0106,0.23,0.0051,0.0064,0.0197,0.231,0.0133
Lung cancer,0.0134,0.0099,0.0023,0.004,0.0038,0.0123,0.0018
Migraine,0.0128,0.3568,0.0024,0.004,0.0229,0.3803,0.003
Liver cirrhosis,0.0098,0.2264,0.0809,0.0038,0.0153,0.2294,0.0045
Indian liver patients,0.0272,0.0606,0.0004,0.0012,0.0076,0.0646,0.0004
Pima Indian diabetes,0.0342,0.1383,0.0117,0.0,0.0071,0.1898,0.0057
Contraceptive methods,0.0092,0.24,0.0014,0.0014,0.0186,0.2492,0.0029
Obesity,0.0314,0.3701,0.001,0.0011,0.0104,0.3992,0.0023
Stroke,0.0215,0.1561,0.0005,0.0003,0.0125,0.1804,0.0029
