Dataset Name,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Heart failure,0.0021,0.0043,0.022,0.0011,0.0017,0.0063,0.0029
Heart disease,0.0057,0.0073,0.002,0.0017,0.0058,0.0155,0.0042
Lung cancer,0.0051,0.0021,0.0012,0.002,0.0016,0.0026,0.0013
Migraine,0.0015,0.0233,0.0006,0.001,0.005,0.0295,0.0006
Liver cirrhosis,0.002,0.0073,0.1111,0.0013,0.0076,0.0053,0.0018
Indian liver patients,0.0108,0.0129,0.0003,0.0011,0.0051,0.0063,0.0004
Pima Indian diabetes,0.0066,0.0899,0.0261,0.0,0.0098,0.0386,0.0127
Contraceptive methods,0.0019,0.0049,0.0005,0.0006,0.004,0.0081,0.0013
Obesity,0.0099,0.0119,0.0002,0.0003,0.0015,0.0087,0.0004
Stroke,0.0053,0.0048,0.0001,0.0002,0.0008,0.001,0.0021
