metric,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Student-T-test,0.0584,0.0604,0.0905,0.112,0.0691,0.0,0.0258
KL divergence,0.002,0.0073,0.1111,0.0013,0.0076,0.0053,0.0018
PropensityScore,0.0436,0.0393,0.1547,0.0022,0.0675,0.0,0.0076
PredictRealOrSyn,0.0501,0.0329,0.1663,0.0652,0.0184,0.0015,0.0089
Log Cluster Metric,0.6745,0.2504,2.1677,1.9767,0.3944,0.0031,2.6294
Feature Correlations Difference,0.0046,0.005,0.1272,0.0043,0.0023,0.0027,0.0119
Cross-validation,0.0425,0.0203,0.117,0.0257,0.0505,0.0181,0.0378
F-1 score,0.0952,0.0617,0.067,0.0435,0.0549,0.0527,0.0484
Geometric Mean,0.0928,0.0666,0.0723,0.0478,0.0648,0.0486,0.0536
Feature-consistency,0.0062,0.0049,0.0078,0.0047,0.0074,0.0064,0.0043
EuclideanDistance_Mean,0.0155,0.0352,0.0298,0.0187,0.012,0.0046,0.0076
EuclideanDistance_Std,0.0617,0.0225,0.1035,0.0589,0.0377,0.0211,0.0249
HausdorffDistance,0.6802,0.1201,3.8677,0.9437,2.2542,0.1009,0.7891
CosineSimilarity,0.0004,0.0002,0.0044,0.0005,0.0003,0.0001,0.0011
