Dataset Name,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Heart failure,-9.49,-3.3348,-3.414,-9.7788,-10.1119,-1.3882,-3.4307
Heart disease,-5.8032,-2.9902,-8.808,-8.3298,-5.4743,-1.3957,-3.2804
Lung cancer,-6.4962,-7.3513,-11.5371,-10.8701,-8.0543,-8.733,-9.3395
Migraine,-7.9062,-1.6342,-14.1402,-9.2271,-3.4758,-1.5828,-11.4177
Liver cirrhosis,-3.1946,-2.0608,-3.1508,-8.9186,-2.9317,-1.3918,-4.8106
Indian liver patients,-9.6493,-6.0605,-8.1676,-8.9166,-3.3853,-1.4384,-9.0909
Pima Indian diabetes,-7.7273,-6.3257,-2.0017,-9.1527,-3.5806,-1.5584,-9.5299
Contraceptive methods,-6.9303,-2.3261,-10.2942,-11.0657,-5.5218,-2.1906,-9.3094
Obesity,-6.2573,-1.554,-10.3712,-10.652,-7.8206,-1.5462,-11.6912
Stroke,-10.1341,-3.0544,-13.7226,-10.5308,-8.7418,-5.7583,-8.5454
