metric,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Student-T-test,0.0986,0.0058,0.1927,0.3224,0.2082,0.0,0.064
KL divergence,0.0051,0.0021,0.0012,0.002,0.0016,0.0026,0.0013
PropensityScore,0.0859,0.0782,0.0047,0.0176,0.0142,0.0116,0.0091
PredictRealOrSyn,0.1097,0.1087,0.0274,0.0417,0.0122,0.024,0.0312
Log Cluster Metric,1.9477,2.6968,5.6561,6.0712,1.4036,2.4447,0.8018
Feature Correlations Difference,0.0008,0.0008,0.0005,0.0008,0.0008,0.001,0.0011
Cross-validation,0.029,0.0227,0.0156,0.0156,0.0306,0.0199,0.0239
F-1 score,0.0,0.0,0.0,0.0,0.0,0.409,0.0
Geometric Mean,0.0,0.0,0.0,0.0,0.0,0.4061,0.0
Feature-consistency,0.0089,0.0052,0.0042,0.0077,0.0066,0.0061,0.0047
EuclideanDistance_Mean,0.001,0.0476,0.005,0.0042,0.0033,0.0012,0.0012
EuclideanDistance_Std,0.0069,0.0129,0.0253,0.0232,0.0201,0.0081,0.0059
HausdorffDistance,0.2468,0.1085,0.658,0.1744,0.8046,0.1497,0.227
CosineSimilarity,0.0001,0.0,0.0002,0.0002,0.0001,0.0001,0.0002
