metric,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Student-T-test,0.3572,0.1687,0.2961,0.152,0.0178,0.0,0.3463
KL divergence,0.0015,0.0233,0.0006,0.001,0.005,0.0295,0.0006
PropensityScore,0.055,0.0042,0.0053,0.0117,0.0127,0.0057,0.0141
PredictRealOrSyn,0.0665,0.0063,0.0262,0.0571,0.01,0.0081,0.0357
Log Cluster Metric,7.5793,0.031,6.6533,1.4179,1.4233,0.0459,5.7367
Feature Correlations Difference,0.0008,0.0004,0.0023,0.002,0.002,0.0005,0.0013
Cross-validation,0.0533,0.0557,0.0523,0.0319,0.0421,0.0471,0.1511
F-1 score,0.2214,0.0425,0.0547,0.1998,0.2246,0.0457,0.1557
Geometric Mean,0.226,0.0487,0.0516,0.2038,0.2309,0.0473,0.1624
Feature-consistency,0.0038,0.0048,0.0034,0.0028,0.0061,0.0045,0.0015
EuclideanDistance_Mean,0.0324,0.1053,0.0322,0.0851,0.1309,0.0686,0.0402
EuclideanDistance_Std,0.1343,0.084,0.134,0.2162,0.1558,0.077,0.0755
HausdorffDistance,1.2368,0.2571,2.0592,1.1632,2.9936,0.2595,1.5402
CosineSimilarity,0.0009,0.0003,0.0017,0.0012,0.0018,0.0002,0.0034
