metric,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Student-T-test,0.0119,0.0002,0.0725,0.1135,0.1286,0.0,0.1652
KL divergence,0.0099,0.0119,0.0002,0.0003,0.0015,0.0087,0.0004
PropensityScore,0.0235,0.0108,0.0044,0.0063,0.0128,0.0011,0.0037
PredictRealOrSyn,0.0125,0.0039,0.0183,0.0288,0.0242,0.0012,0.0157
Log Cluster Metric,3.8723,0.0086,0.9104,1.932,2.7423,0.0136,1.9482
Feature Correlations Difference,0.004,,0.0082,0.0026,0.0051,0.0008,0.002
Cross-validation,0.0083,0.0186,0.0092,0.0263,0.061,0.0098,0.0218
F-1 score,0.0307,0.0277,0.0248,0.0703,0.0515,0.0231,0.0268
Geometric Mean,0.0331,0.0288,0.0238,0.0697,0.0488,0.0242,0.0281
Feature-consistency,0.0024,0.0026,0.0022,0.0044,0.0061,0.0031,0.0032
EuclideanDistance_Mean,0.0054,0.0015,0.0056,0.0072,0.0273,0.0016,0.0045
EuclideanDistance_Std,0.0223,0.0073,0.0182,0.0238,0.0875,0.0077,0.0147
HausdorffDistance,0.3085,0.123,0.5789,0.3494,12.3837,0.0781,0.2004
CosineSimilarity,0.0003,0.0,0.0002,0.0003,0.0005,0.0001,0.0002
