metric,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Student-T-test,0.0809,0.1305,0.0423,0.1549,0.0714,0.0,0.095
KL divergence,0.0066,0.0899,0.0261,0.0,0.0098,0.0386,0.0127
PropensityScore,0.0818,0.0326,0.1165,0.0129,0.0159,0.002,0.0075
PredictRealOrSyn,0.0763,0.0349,0.1061,0.0332,0.0199,0.001,0.021
Log Cluster Metric,3.6862,5.3353,0.1129,1.3549,0.2161,0.0179,2.18
Feature Correlations Difference,0.0105,0.0086,0.1211,0.0127,0.0094,0.0102,0.0137
Cross-validation,0.0242,0.018,0.0498,0.0188,0.0155,0.0192,0.0123
F-1 score,0.1535,0.1601,0.1677,0.028,0.0885,0.1343,0.0132
Geometric Mean,0.1316,0.134,0.1557,0.025,0.0846,0.0946,0.0358
Feature-consistency,0.0053,0.0042,0.0085,0.0041,0.0058,0.0054,0.0063
EuclideanDistance_Mean,0.0089,0.0034,0.0407,0.0067,0.0094,0.002,0.0088
EuclideanDistance_Std,0.0299,0.0134,0.1464,0.0202,0.0289,0.0078,0.025
HausdorffDistance,0.5423,0.1577,0.8953,0.679,0.7303,0.2026,0.3941
CosineSimilarity,0.0009,0.0006,0.0038,0.0005,0.0008,0.0002,0.0008
