Dataset Name,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Heart failure,0.0692,0.0544,0.2018,0.0268,0.0154,0.0013,0.0186
Heart disease,0.0842,0.0133,0.0464,0.0339,0.0447,0.0,0.0244
Lung cancer,0.1097,0.1087,0.0274,0.0417,0.0122,0.024,0.0312
Migraine,0.0665,0.0063,0.0262,0.0571,0.01,0.0081,0.0357
Liver cirrhosis,0.0501,0.0329,0.1663,0.0652,0.0184,0.0015,0.0089
Indian liver patients,0.0199,0.021,0.0505,0.0383,0.0307,0.0007,0.0305
Pima Indian diabetes,0.0763,0.0349,0.1061,0.0332,0.0199,0.001,0.021
Contraceptive methods,0.0502,0.0084,0.0068,0.0262,0.0188,0.0065,0.0161
Obesity,0.0125,0.0039,0.0183,0.0288,0.0242,0.0012,0.0157
Stroke,0.0106,0.0046,0.0153,0.0119,0.0061,0.0023,0.0119
