Dataset Name,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Heart failure,0.2017,0.2453,0.2468,0.0366,0.0687,0.5,0.0546
Heart disease,0.2783,0.3782,0.0656,0.0658,0.1461,0.5,0.1292
Lung cancer,0.2107,0.1849,0.0616,0.0718,0.0706,0.1527,0.0543
Migraine,0.1732,0.4527,0.052,0.0466,0.125,0.4592,0.054
Liver cirrhosis,0.2932,0.2316,0.248,0.0389,0.1185,0.5,0.0505
Indian liver patients,0.294,0.3109,0.0456,0.0425,0.129,0.4998,0.0293
Pima Indian diabetes,0.2313,0.3,0.3333,0.0287,0.1887,0.4951,0.027
Contraceptive methods,0.1282,0.3376,0.0275,0.0309,0.0972,0.361,0.0497
Obesity,0.1857,0.4313,0.029,0.0277,0.1079,0.4941,0.0264
Stroke,0.1117,0.3129,0.02,0.014,0.1274,0.4242,0.0381
