Dataset Name,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Heart failure,0.0661,0.0569,0.2055,0.0138,0.0061,0.0,0.0147
Heart disease,0.0646,0.0081,0.0237,0.0111,0.0146,0.0,0.0142
Lung cancer,0.0859,0.0782,0.0047,0.0176,0.0142,0.0116,0.0091
Migraine,0.055,0.0042,0.0053,0.0117,0.0127,0.0057,0.0141
Liver cirrhosis,0.0436,0.0393,0.1547,0.0022,0.0675,0.0,0.0076
Indian liver patients,0.0354,0.0261,0.0121,0.0044,0.0201,0.0002,0.0058
Pima Indian diabetes,0.0818,0.0326,0.1165,0.0129,0.0159,0.002,0.0075
Contraceptive methods,0.0528,0.0048,0.0061,0.0028,0.0081,0.0054,0.0098
Obesity,0.0235,0.0108,0.0044,0.0063,0.0128,0.0011,0.0037
Stroke,0.0113,0.0079,0.0036,0.0043,0.0053,0.0024,0.0049
