metric,CTGAN,CTAB-GAN,TabDDPM,CART,DataSynth,GReaT,NextConvGeN
Student-T-test,0.0669,0.0,0.0725,0.1571,0.0265,0.0,0.1474
KL divergence,0.0053,0.0048,0.0001,0.0002,0.0008,0.001,0.0021
PropensityScore,0.0113,0.0079,0.0036,0.0043,0.0053,0.0024,0.0049
PredictRealOrSyn,0.0106,0.0046,0.0153,0.0119,0.0061,0.0023,0.0119
Log Cluster Metric,3.6737,1.0202,4.9563,2.0418,3.0451,8.7531,0.6323
Feature Correlations Difference,0.0183,0.0044,0.0018,0.0019,0.0047,0.0018,0.0029
Cross-validation,0.0004,0.0011,0.0015,0.0005,0.0016,0.0004,0.0046
F-1 score,0.2747,0.187,0.1901,0.3643,0.3621,0.2453,0.2478
Geometric Mean,0.2288,0.1567,0.17,0.3503,0.3209,0.2035,0.2052
Feature-consistency,0.0009,0.001,0.0003,0.0008,0.0005,0.0008,0.0003
EuclideanDistance_Mean,0.0079,0.0028,0.006,0.004,0.0074,0.0021,0.0055
EuclideanDistance_Std,0.0242,0.0106,0.0176,0.0122,0.0201,0.0079,0.0159
HausdorffDistance,0.2875,0.2857,0.3685,0.3204,2.5348,0.185,0.5027
CosineSimilarity,0.0003,0.0002,0.0002,0.0002,0.0001,0.0,0.0003
