,Dataset Name,Model,Student-T-test,KL divergence,PropensityScore,PredictRealOrSyn,Log Cluster Metric,Feature Correlations Difference,Cross-validation,F-1 score,Geometric Mean,Feature-consistency,EuclideanDistance_Mean,EuclideanDistance_Std,HausdorffDistance,CosineSimilarity
0,HeartDisease,NextConvGeN,0.007757488658120967,0.011605872086554055,0.11339690302017724,0.5453119946265726,-2.0696964281831893,0.27928080861952487,0.03470660575208695,0.27701615036913785,0.2574986324986594,0.016927155857334848,5.1375,1.2674,4.2972,0.0019
1,HeartDisease,CTGAN,1.7666777207157895e-05,0.01571133906075905,0.23496736048771075,0.6907508454734331,-6.183739360785645,0.12182325627287968,0.3634810258248293,0.04439627190099421,0.0016090993824835476,0.020575783661158878,5.1923,1.0198,4.3926,0.001
2,HeartDisease,convexCTGAN,0.007477402897549977,0.030438955184624042,0.28916361991285844,0.8092144073914602,-3.717608841556562,0.08330295738754656,0.30443445456691665,0.11153290334719396,0.1350420705255631,0.02400771135425435,5.185,1.0563,4.5063,0.0013
3,HeartDisease,CTABGAN,0.012241749457631504,0.22426261072658576,0.371349014443303,0.883067938854316,-2.565957094878906,0.09717402997553454,0.30892253914430423,0.05049923069535306,0.07677137405472045,0.024463351351826205,5.2116,0.9163,4.0944,0.0001
4,HeartDisease,convexCTABGAN,0.0014950656606019775,0.23809652112435645,0.4065008620148745,0.9205714373257345,-1.6919068944655418,0.09420597415955945,0.2788977692326936,0.26667610942584086,0.2216535790882665,0.02769748092584927,5.2115,0.9167,4.0311,0.0002
5,HeartDisease,TabDDPM,0.6582612529708516,0.0020886568112446985,0.06313758102399732,0.41738754336678097,-7.9347785746534525,0.029311039878225822,0.030648569812366633,0.3106770700899709,0.2660074517950059,0.024307390246028595,5.1402,1.2564,4.2918,0.0027
6,LungCancer,NextConvGeN,0.44089899692703916,0.004041143528800599,0.06355766597688584,0.4786715014486571,-12.017111509119129,0.007609506190325243,0.035314769618567055,0.0,0.0,0.01888592748253383,5.5478,1.1053,3.3247,0.0007
7,LungCancer,CTGAN,3.022094955797988e-20,0.01346322390292661,0.2226071348194467,0.7384088375392722,-6.200972317683097,0.012994807738738888,0.01866545373830486,0.0,0.0,0.012283566982120993,5.5945,0.8375,4.8046,0.0004
8,LungCancer,convexCTGAN,0.3294567191887784,0.03353246098029277,0.16483434193333946,0.6225947262037548,-4.371489375251814,0.012746796473371869,0.023665453738304976,0.0,0.0,0.016902975044489944,5.5896,0.8694,4.8634,0.0001
9,LungCancer,CTABGAN,0.013234843893488014,0.012657535050261478,0.13329302436866833,0.5644221751079568,-5.47116853298987,,0.018356811762996195,0.0,0.0,0.01188341785706013,5.5094,0.8044,4.6382,0.0003
10,LungCancer,convexCTABGAN,0.01208173701625747,0.012766970413646805,0.12835115071858216,0.5632835328832764,-7.965356314219252,0.013059461555541808,0.02909850539652903,0.0,0.0,0.012415407364550017,5.5965,0.824,4.7894,0.0003
11,LungCancer,TabDDPM,0.6643774174483044,0.0019292689744921396,0.06600048655629931,0.4573145505183449,-8.210950220226625,0.006772787984837387,0.012034864260047629,0.0,0.0,0.012515917463588584,5.5454,1.1174,3.4552,0.0008
12,IndianLiverPatients,NextConvGeN,0.6206948301099108,8.721918507560754e-06,0.028192762757688634,0.49552790636352356,-6.995520244734436,0.03158066062730219,0.17484656645661206,0.0,0.0,0.017201484887647712,4.2347,2.0167,5.221,0.0143
13,IndianLiverPatients,CTGAN,0.09299078264920373,0.026481699349598306,0.3016469932079486,0.8269212040082504,-11.400992322497506,0.09136876516802682,0.1714808420848346,0.47533876941501735,0.45791432121567177,0.013618120506699227,4.3278,1.8084,7.7008,0.0081
14,IndianLiverPatients,convexCTGAN,0.06780309832888312,0.03426458133659828,0.16204924732668546,0.6637074851633554,-4.053171667506071,0.09893334188594961,0.018290377604047503,0.024581145966653173,0.019711822715292038,0.019177203261538534,4.3061,1.8595,9.0669,0.0086
15,IndianLiverPatients,CTABGAN,0.0011784153247595523,0.048238369680634996,0.2936673678625026,0.8261613734246371,-2.091048733282192,,0.3342013808053733,0.0,0.0,0.02554429250076663,4.344,1.4592,3.6099,0.0026
16,IndianLiverPatients,convexCTABGAN,0.018194177114999627,0.05265461318902301,0.3063614036663003,0.82881484411317,-2.4750045741964657,0.09201584204576717,0.15474844983242014,0.3188373431564405,0.22948281187047015,0.02296507373173947,4.4407,1.5101,4.0815,0.0047
17,IndianLiverPatients,TabDDPM,0.2327172937848348,0.00032185585903148854,0.057440035659690816,0.5971727252908243,-2.5013181306087513,0.1326097372151479,0.24075168275670783,0.0,0.0,0.012975630366054558,4.1554,2.1755,6.3433,0.0206
18,ContraceptiveMethods,NextConvGeN,1.920264134197064e-05,0.002048710630944633,0.047882384574990826,0.5124476550846119,-12.89577124185761,0.007348698288600038,,0.2906814625617852,0.23719363457880632,0.012381288687568437,4.2843,1.2824,4.0133,0.0063
19,ContraceptiveMethods,CTGAN,2.0368959627472732e-08,0.010332887282471087,0.07193289801755784,0.5907562188708815,-6.445113735905032,0.02027125964559673,,0.17399133667421526,0.15415979995200005,0.022691028825906488,4.3363,1.0938,4.6122,0.0037
20,ContraceptiveMethods,convexCTGAN,1.961246571530206e-10,0.02518844294412781,0.09915476745831384,0.5803549058171327,-6.577998257523675,0.03390183361517371,,0.17588951306903594,0.15651770626294348,0.018457481446098583,4.2897,1.2644,4.0816,0.0068
21,ContraceptiveMethods,CTABGAN,0.7658718195944288,0.247483033563011,0.33811538422240417,0.8542223086791495,-2.336353926883462,0.021351944104127243,,0.20055428911007622,0.18003236748701767,0.019041114488848425,4.369,0.9551,3.1462,-0.0
22,ContraceptiveMethods,convexCTABGAN,4.2086462450891534e-23,0.18218342139308097,0.3101247495840754,0.8210584885071144,-2.6497974200431855,0.021140138707624188,,0.09946859494251042,0.03286416736199854,0.025350320234453144,4.3632,0.9812,3.4685,0.0006
23,ContraceptiveMethods,TabDDPM,0.7655032600761673,0.0005674223659260071,0.021378692193980874,0.4774620890955168,-11.862559929259133,0.00781815875678957,,0.0,0.0,0.01188039588635621,4.2901,1.2631,1.0204,0.0057
24,Migraine,NextConvGeN,0.9285426395483718,0.003799454405076989,0.04414173936502518,0.44226800898706875,-21.416413017506358,0.011053036128341446,,0.3814544882270428,0.3963749253470183,0.013171667509333471,5.3893,3.1552,6.9387,0.0272
25,Migraine,CTGAN,0.7988007759701602,0.012387129043893925,0.1288258739762749,0.5725706352030077,-5.438138815616462,0.03615136666295911,,0.006975263839072876,0.0004712985408564796,0.014047586655336711,5.7104,2.7186,11.7171,0.0141
26,Migraine,convexCTGAN,0.019050283113636313,0.02136432884107479,0.1457914879234103,0.6374778038134424,-6.228463172050922,0.03689159903686802,,0.023102779297933418,0.041224377228554876,0.02414213079757079,5.7558,2.6211,10.9261,0.015
27,Migraine,CTABGAN,8.791062311831715e-11,0.3433498944884265,0.4476411853133416,0.9715335103503806,-1.6285255183440188,0.03972821033040405,,0.015146867516294515,0.009051498826148363,0.01893168949143765,5.7884,2.1199,4.8863,0.0013
28,Migraine,convexCTABGAN,0.09251902196048918,0.36853024929455513,0.45516435538751476,0.9756653503934304,-1.5516426070271305,0.03923609979685526,,0.015146867516294515,0.009051498826148363,0.01918515518780429,5.973,2.0793,5.1109,0.0009
29,Migraine,TabDDPM,0.3184777651125694,0.003232105634453099,0.05303089657123792,0.44935448066402117,-21.416413017506358,0.012111969637743972,,0.12351826825393092,0.1050112238472774,0.013992043663134996,5.409,3.1214,3.867,0.0267
30,Stroke,NextConvGeN,0.3034350104457388,0.004798187635219766,0.04420605701893221,0.4930180405147526,-8.480920264194195,0.03656601252187617,0.06274823494637737,0.43540407303640105,0.37020486082020576,0.0019187033482414352,4.4381,1.5178,2.342,0.008
31,Stroke,CTGAN,0.05227092539805275,0.02803788164457554,0.11363358560748825,0.6111266686605725,-14.535189866656673,0.04126195668886304,0.044552289815447704,0.43540407303640105,0.37020486082020576,0.0020984117540972513,4.4622,1.4451,3.5837,0.0077
32,Stroke,convexCTGAN,0.21893101366878717,0.0073947884344761905,0.05076649511785885,0.5800408163628957,-10.720512911498032,0.027326578121509893,0.03495870486582561,0.43540407303640105,0.37020486082020576,0.0018464566369194245,4.469,1.4239,4.1527,0.0066
33,Stroke,CTABGAN,8.91036155399911e-18,0.1615502531544406,0.3166108057463615,0.8275448343187609,-2.6574452567632743,0.09309488140865861,0.10022677013389088,0.43540407303640105,0.37020486082020576,0.003325364024434474,4.5391,1.1817,3.9421,0.0017
34,Stroke,convexCTABGAN,0.22834406389230755,0.020763438418060505,0.0640675857130866,0.6000188496682967,-6.154122633022628,0.09704058462439714,0.10022677013389088,0.030367123837710286,0.028025628809493885,0.0029285445373989473,4.4943,1.3421,4.445,0.0058
35,Stroke,TabDDPM,0.5929189039202417,0.0005353487584760781,0.01808042833731827,0.4886497008909041,-9.935204523426107,0.003921839465278309,0.024026610644257707,0.43540407303640105,0.37020486082020576,0.001992759446217407,4.4483,1.4874,2.1384,0.0076
36,PimaIndianDiabetes,NextConvGeN,0.5672374954198873,0.0,0.029180177686347047,0.47703754232948403,-21.416413017506358,0.028098509612683783,0.18766974960408955,0.018282775730683182,0.07565175824949438,0.00659044082577856,4.0094,1.3874,3.1268,0.0066
37,PimaIndianDiabetes,CTGAN,0.0330540898356708,0.043026836034904016,0.197033024266721,0.690363088371809,-4.467760455178979,0.09321399165416089,0.335243416995724,0.2239645755424294,0.1646189117606679,0.01717124458736996,4.0673,1.207,3.9491,0.0037
38,PimaIndianDiabetes,convexCTGAN,0.15733928030637512,0.0,0.1362794298729221,0.6290137390785013,-12.337601336916933,0.11694358625388415,0.06867886092973141,0.0,0.0,0.028246563706433178,4.0487,1.2681,5.5691,0.0054
39,PimaIndianDiabetes,CTABGAN,0.0018476307424495739,0.2036833285911563,0.3549950518569726,0.8566332582517809,-2.031660403175732,0.1067922165502398,0.3773472216319311,0.018282775730683182,0.07565175824949438,0.018428833769168235,4.1051,1.0717,3.0459,0.0001
40,PimaIndianDiabetes,convexCTABGAN,0.0006836900387315012,0.0,0.25681151812144437,0.7726482991980974,-11.483124729125494,0.11140947801901185,0.388571071986665,0.3597458712571029,0.2875021249565007,0.01563405919490106,4.0992,1.0939,3.113,0.0017
41,PimaIndianDiabetes,TabDDPM,0.015233116258365839,0.0,0.30427492044802024,0.8238998691875045,-1.9997251336002595,0.2022674618315165,0.006803075421031646,0.0036069509162429403,0.026157956915826563,0.029599650677817183,4.0586,1.2361,4.2456,0.0058
42,Obesity,NextConvGeN,0.7184528971709739,0.002855534600218326,0.02779710897586496,0.46847148701662966,-9.144011152869753,0.009397555302358274,,0.05024684225937651,0.04813833160754926,0.008652787896404633,5.5696,1.7261,3.5728,0.0067
43,Obesity,CTGAN,1.4360673374935971e-31,0.033645199015584284,0.1818247674205191,0.7008916364233501,-3.520646367455335,0.09719662734298265,,0.07616557830240883,0.07700893991132485,0.017284506805295044,5.6623,1.3921,6.323,0.003
44,Obesity,convexCTGAN,0.3836697750546845,0.014820568640154177,0.10978429382306204,0.5986353677553943,-8.461980982599956,0.05636233537436772,,0.05503170500559094,0.05172519300779651,0.018249114606512466,5.6269,1.529,6.516,0.0056
45,Obesity,CTABGAN,1.4877275546211828e-06,0.3753599755660907,0.43436334730489595,0.9428675541832734,-1.5571801986787153,,,0.061021540642111786,0.06191867029013547,0.019603203943414502,5.6214,1.183,4.7691,0.0002
46,Obesity,convexCTABGAN,5.864377697377091e-11,0.07207047385059924,0.3226162193694363,0.826498914278029,-1.7870350175675647,,,0.008764550190596597,0.003949820865161498,0.018089316224670818,5.6043,1.2615,5.5056,0.0018
47,Obesity,TabDDPM,0.5200860233017613,0.0008202687803588751,0.033335340490527186,0.49212051028037146,-12.572529640110119,0.006741675127145622,,0.03536452324820979,0.03086104008362616,0.005743593624923667,5.5664,1.7364,1.9843,0.0069
48,LiverCirrhosis,NextConvGeN,0.019294234398610235,0.006301746371659039,0.04294557683273911,0.622652894120718,-2.0721575665072556,0.2163671530513771,,0.04145191518533034,0.04131924623915448,0.02902273494658531,5.905,1.7693,5.1072,0.0019
49,LiverCirrhosis,CTGAN,0.14785291612639884,0.00849042244802595,0.275262349321703,0.7871436317228293,-4.26141475513635,0.10071892063862255,,0.2154517964768783,0.22593414534191208,0.014236782502435161,5.9682,1.5428,6.68,0.0033
50,LiverCirrhosis,convexCTGAN,0.09734461290524198,0.011031946066559172,0.2601773538474863,0.8071624833123703,-2.928935739668416,0.10558298802897036,,0.07108505211013391,0.05938731736410663,0.016861988758010694,5.984,1.4804,6.3525,0.0028
51,LiverCirrhosis,CTABGAN,0.006952675671030834,0.22463172607507265,0.22159220126072032,0.7556165157862951,-1.9923579257525343,,,0.07108505211013391,0.05938731736410663,0.026179701288412186,5.9443,1.2906,4.804,0.0003
52,LiverCirrhosis,convexCTABGAN,0.08746880995329441,0.20869503351280755,0.22556885836906135,0.7494486486094933,-1.8723227736415162,0.10142481685516842,,0.07618240706208718,0.07625614198153047,0.017657234189707792,6.0231,1.3122,4.9911,0.0001
53,LiverCirrhosis,TabDDPM,0.17651271328428864,0.04461120169792088,0.15612865007903207,0.6276793367623881,-2.519734655303368,0.19336217861398053,,0.06441247435321881,0.052721842582700656,0.025334983258715443,5.9247,1.7023,6.3362,0.0082
54,HeartFailure,NextConvGeN,0.045719698866929274,0.010870033452703737,0.06987073986826502,0.7149460043779935,-2.060314481897326,0.23705926159344273,0.08903912834347605,0.0,0.0,0.03348892780305096,4.947,1.2359,3.7137,0.0013
55,HeartFailure,CTGAN,0.022971424397081826,0.006700835366505333,0.17135955096587982,0.6644549375122262,-9.396244835555802,0.048831746814032094,0.47670150783194265,0.4317253040126388,0.41136860528484076,0.04566979894395894,4.9594,1.185,4.7695,0.0015
56,HeartFailure,convexCTGAN,0.20836210861222101,0.043960043884422505,0.13510353934637626,0.6950671656434839,-11.568856347304026,0.054004740676919204,0.2914991739339565,0.17821165817770235,0.19224933218874463,0.0593521357071782,4.9522,1.215,5.7377,0.0009
57,HeartFailure,CTABGAN,0.027917217942601078,0.023365263938864688,0.20535597987716467,0.7604123636156672,-2.040131617530394,0.054166336129894424,0.6082693602693603,0.0,0.0,0.03396090900162222,4.9903,1.0474,3.7251,0.0005
58,HeartFailure,convexCTABGAN,0.029328507896350924,0.0161405266600112,0.267464712349624,0.8243153956959436,-6.080132112186863,0.04447946130982659,0.5327138047138047,0.2701526979918496,0.25861957345125847,0.029931244258651245,4.9835,1.0792,3.9826,0.0006
59,HeartFailure,TabDDPM,0.16887800812525205,0.013366447453508174,0.08849813354505255,0.6280229136160227,-2.1811945296107886,0.19475082593572843,0.17825237886107448,0.2701526979918496,0.25861957345125847,0.031344868458424414,4.9271,1.313,4.7772,0.0037
