,Dataset Name,Model,Student-T-test,KL divergence,PropensityScore,PredictRealOrSyn,Log Cluster Metric,Feature Correlations Difference,Cross-validation,F-1 score,Geometric Mean,Feature-consistency,EuclideanDistance_Mean,EuclideanDistance_Std,HausdorffDistance,CosineSimilarity
0,HeartDisease,NextConvGeN,0.05704548638243451,0.012184172774037855,0.12042963884600984,0.57864271663448,-2.067927834148265,0.26989324862624575,0.037984496124030875,0.5706875308599447,0.5526861561102762,0.010636759939635514,5.1469,1.2284,3.8807,0.0011
1,HeartDisease,CTGAN,1.4004719191525752e-05,0.00953859347380501,0.25280529203628876,0.7803077474062226,-3.9609674379487263,0.07997921248346546,0.5593576965669991,0.17318920643784524,0.16644413579191988,0.081791943629021,5.1899,1.0319,4.423,0.001
2,HeartDisease,convexCTGAN,2.515167245224466e-06,0.02934607403384365,0.30982768799890054,0.8373689778426023,-1.8879062878463835,0.09744888166525581,0.5258028792912515,0.1767600805257198,0.17129538325407712,0.06446601264527371,5.1846,1.0584,5.5783,0.0012
3,HeartDisease,CTABGAN,0.0010738566690773079,0.2266169078153073,0.3755643754896557,0.8625137305572087,-1.9704861908408977,0.09349842379495493,0.5928017718715394,0.045127363058397596,0.032021107926898995,0.08541512865305353,5.2096,0.9274,4.1751,0.0002
4,HeartDisease,convexCTABGAN,8.821734819885368e-07,0.25258334178501024,0.38411934160210354,0.8953838272210003,-1.8186949657047042,0.10770022299521452,0.5735326688815061,0.05207134312610989,0.05423140176870128,0.08342771064279669,5.2082,0.9354,4.2306,-0.0001
5,HeartDisease,TabDDPM,0.8047076421796049,0.002264127040842618,0.046392888910879684,0.389060205234788,-10.610965583370133,0.022381015326951068,0.023809523809523947,0.006175381641265687,0.00557529369970633,0.011457586995954347,5.1378,1.2659,3.1725,0.0026
6,LungCancer,NextConvGeN,0.9628359219266438,0.0013304712700899653,0.06417806911530395,0.45941720186518226,-8.30603972766141,0.009593142793955524,0.0052631578947368585,0.0,0.0,0.02035302823527038,5.553,1.0791,3.0209,0.0003
7,LungCancer,CTGAN,1.276566711806433e-23,0.02069043316148842,0.24837261756537035,0.7251132848844519,-6.166145487019741,0.017023969631116284,0.724561403508772,0.010308307644441156,0.010254983835407655,0.07020743075498952,5.6005,0.7964,4.6087,0.0001
8,LungCancer,convexCTGAN,8.551717718401486e-10,0.019580026620697896,0.18755575694473747,0.6415455311761576,-4.832599250211549,0.01687616314245845,0.6923076923076923,0.057572169017952174,0.05831376772781888,0.0655921396925748,5.6002,0.7988,4.3975,0.0
9,LungCancer,CTABGAN,3.1936534107046274e-06,0.014544911956226791,0.17651835702400023,0.6077940714923001,-9.674633382179154,0.01677048582869748,0.7134952766531714,0.11733043284248104,0.1235929840072705,0.06631731900014426,5.6062,0.755,4.3612,0.0
10,LungCancer,convexCTABGAN,8.832104492284387e-06,0.013825805733895339,0.15044469456852919,0.5920918220299025,-7.4930720903867645,0.016758705073848326,0.7442645074224021,0.057572169017952174,0.05831376772781888,0.07084453490331351,5.6032,0.7774,4.3399,0.0
11,LungCancer,TabDDPM,0.5714467750510764,0.0013629842861535885,0.06771551267285848,0.392947111368164,-8.314836001450637,0.005972787724977566,0.0052631578947367474,0.0,0.0,0.02097201014069165,5.5551,1.068,3.5984,0.0004
12,IndianLiverPatients,NextConvGeN,0.6982188019688949,8.354563878231564e-06,0.030250250206202443,0.4914445351083477,-7.646941590339626,0.026412155351143787,0.027816455696202502,0.0010662510236118389,0.0012299998202180695,0.04205029847680871,4.2755,1.9287,3.7892,0.0124
13,IndianLiverPatients,CTGAN,0.24086788102644136,0.05547029237672256,0.17885182094080285,0.7136159531668189,-5.6952920726129435,0.13132383469813166,0.5580696202531645,0.05915174997598385,0.05676190427794096,0.0699149712863823,4.3524,1.7482,6.0781,0.0083
14,IndianLiverPatients,convexCTGAN,0.2754836804585729,0.016561573378117957,0.15531799137915378,0.659011150600974,-5.740169449637452,0.16358369713278498,0.4368037974683544,0.03127960419514754,0.024395633942673828,0.07962465699078278,4.3461,1.764,6.8232,0.0084
15,IndianLiverPatients,CTABGAN,0.08411042676446644,0.05204092144811395,0.34355171250995503,0.8704857075513942,-2.2816912251440087,0.09993023944262024,0.5553481012658228,0.07266643184219795,0.06592827263627726,0.07223251949924642,4.474,1.4083,3.6465,0.0024
16,IndianLiverPatients,convexCTABGAN,0.0001147931429086075,0.05781850697280616,0.33885704863137095,0.8660278147560729,-2.171259520118069,0.10029052261791577,0.5076898734177215,0.1730543452762526,0.1923653846237155,0.06398622062323198,4.4668,1.431,4.0633,0.0017
17,IndianLiverPatients,TabDDPM,0.5240504989874403,0.000805610870475218,0.03799947280648408,0.5069441678079185,-7.319711983516987,0.032812028404997653,0.0075949367088608,0.030134479878675194,0.028385569020532263,0.03142333400620945,4.2418,2.0018,5.4501,0.0145
18,T2DM,NextConvGeN,0.5334746390494003,0.039246687139703605,0.10719235647200674,0.5677420702285008,-10.669975325943108,0.023147771754596154,0.03400726419967892,0.09421766946495269,0.08374794687209314,0.005084000257640257,8.3373,1.8679,8.7573,0.0014
19,T2DM,CTGAN,0.004864839495901627,0.036266583057770536,0.25498353961010556,0.7604275005833416,-8.192076376221697,0.04598393828095885,0.36517504053638417,0.08828665771577252,0.08594130864146962,0.014898224825216216,8.4568,1.5758,9.1121,0.0009
20,T2DM,convexCTGAN,9.13702518308654e-05,0.050728777783333186,0.19622563217228794,0.690678718363243,-8.72655828743198,0.0315414558730729,0.19895406672751692,0.0,0.0,0.011586695938624554,8.4154,1.7837,9.1928,0.0015
21,T2DM,CTABGAN,7.990003549741357e-22,0.0672195243676464,0.341384465902718,0.8459531612668496,-3.356578106220981,0.04615793872481977,0.6485107793437136,0.04816400944234506,0.047164984513495434,0.015074337755778757,8.5039,1.2978,7.9267,0.0004
22,T2DM,convexCTABGAN,0.10060056571758853,0.0324914162284005,0.11598048992334593,0.5953766641857909,-7.9209899656173555,0.04136350655875061,0.6351072459844344,0.03672908322542659,0.03496386263142487,0.017098617449791725,8.4627,1.5437,10.3357,0.0009
23,T2DM,TabDDPM,0.3749885385843401,0.007524293947775672,0.08354564502616661,0.5504553111252494,-8.410885474515812,0.017702645956722225,0.023141721569536977,0.14260008080455547,0.15129886698537148,0.004933585894310237,8.3854,1.9195,10.5931,0.0016
24,ContraceptiveMethods,NextConvGeN,4.3856314556391515e-07,0.002610106865345274,0.0490175589411927,0.5080945097474088,-10.143419560051065,0.006226580192560505,0.017075376884422178,0.00399314033244591,0.006873780700131699,0.013835677035523512,4.2747,1.3143,3.4137,0.0056
