,Dataset Name,Model,Accuracy,F1_score,RMSE
0,HeartDisease,NextConvGeN,0.5695364238410596,0.5631038869202143,1.207611003404294
1,HeartDisease,CTGAN,0.4859271523178808,0.4672171736093865,1.2958480866233728
2,HeartDisease,CTABGAN,0.3394039735099338,0.3356373375661412,1.2120711350217337
3,HeartDisease,TabDDPM,0.6043046357615893,0.6005246830360648,1.2563046627689325
0,LungCancer,NextConvGeN,0.6363636363636365,0.634756264052933,
1,LungCancer,CTGAN,0.5394605394605395,0.5334221833291413,
2,LungCancer,CTABGAN,0.5154845154845155,0.5089708522383811,
3,LungCancer,TabDDPM,0.6453546453546454,0.643211176890532,
0,IndianLiverPatients,NextConvGeN,0.6007067137809188,0.6030020346974811,1.3517001042960186
1,IndianLiverPatients,CTGAN,0.607773851590106,0.5915965798210728,1.2599873825977874
2,IndianLiverPatients,CTABGAN,0.7243816254416962,0.6085993164571627,1.266835414340073
3,IndianLiverPatients,TabDDPM,0.6501766784452296,0.6396511540485678,1.5171001021601063
0,ContraceptiveMethods,NextConvGeN,0.472436797752809,0.4619820247755541,
1,ContraceptiveMethods,CTGAN,0.47542134831460675,0.44995807968125395,
2,ContraceptiveMethods,CTABGAN,0.35077247191011235,0.35994714513621723,
3,ContraceptiveMethods,TabDDPM,0.45962078651685395,0.4618084747898165,
0,Migraine,NextConvGeN,0.777127659574468,0.7732546768335631,
1,Migraine,CTGAN,0.7587765957446808,0.7479251274962035,
2,Migraine,CTABGAN,0.5944148936170213,0.597764319406028,
3,Migraine,TabDDPM,0.7768617021276596,0.7748038085657477,
0,Stroke,NextConvGeN,0.7289323553382234,0.7312257056972902,1.2957991720066238
1,Stroke,CTGAN,0.6567237163814181,0.6712981427126912,1.4748401249611063
2,Stroke,CTABGAN,0.5212713936430318,0.5699804564349971,1.421552901038422
3,Stroke,TabDDPM,0.7583537082314589,0.758477333804927,1.2439536145142263
0,PimaIndianDiabetes,NextConvGeN,0.6875,0.6845075239398084,1.1830950622621577
1,PimaIndianDiabetes,CTGAN,0.6302083333333334,0.634512741046832,1.397746086559653
2,PimaIndianDiabetes,CTABGAN,0.5833333333333334,0.5544898526549903,1.4994551802153115
3,PimaIndianDiabetes,TabDDPM,0.5442708333333334,0.4952417695473252,1.6968371797591135
0,Obesity,NextConvGeN,0.8057029177718834,0.8024760083270374,
1,Obesity,CTGAN,0.5449454759799588,0.5605726615191314,
2,Obesity,CTABGAN,0.35551134689065716,0.4049681728010584,
3,Obesity,TabDDPM,0.8428381962864722,0.8432705809199194,
0,LiverCirrhosis,NextConvGeN,0.6618819776714513,0.6620095558019637,1.2866853799006084
1,LiverCirrhosis,CTGAN,0.5821371610845295,0.5887631182079495,1.4438308999709617
2,LiverCirrhosis,CTABGAN,0.41387559808612445,0.4340335409164362,1.6838701227016166
3,LiverCirrhosis,TabDDPM,0.5940988835725678,0.5886673358118167,1.456257717018741
0,HeartFailure,NextConvGeN,0.5583333333333333,0.553948457008993,1.2753358036433233
1,HeartFailure,CTGAN,0.55,0.5399601086949797,1.507377618394765
2,HeartFailure,CTABGAN,0.5733333333333334,0.541604357034343,1.2505907138817298
3,HeartFailure,TabDDPM,0.5533333333333333,0.5571374860583176,1.3955956622240493
