,Dataset Name,Model,Accuracy,F1_score,RMSE
0,HeartDisease,NextConvGeN,0.5430463576158941,0.5331621384002267,0.8146716291866913
1,HeartDisease,CTGAN,0.5041390728476821,0.49561669495775146,1.3797071938175687
2,HeartDisease,convexCTGAN,0.4958609271523179,0.4797095434560377,1.8999134125554527
3,HeartDisease,CTABGAN,0.4552980132450331,0.4213568908401374,1.2348742081779955
4,HeartDisease,convexCTABGAN,0.4056291390728477,0.3705432943948773,1.1872679467478264
5,HeartDisease,TabDDPM,0.5571192052980132,0.556209031898354,1.289444360718556
0,LungCancer,NextConvGeN,0.6360089186176142,0.6333636605206283,
1,LungCancer,CTGAN,0.48439241917502784,0.47630346190940576,
2,LungCancer,convexCTGAN,0.4944258639910814,0.4843804728032125,
3,LungCancer,CTABGAN,0.4559643255295429,0.440489643219419,
4,LungCancer,convexCTABGAN,0.47937569676700104,0.4649934350516406,
5,LungCancer,TabDDPM,0.6633221850613155,0.6611252024691832,
0,IndianLiverPatients,NextConvGeN,0.3674911660777385,0.3736939920214919,1.3412254933878562
1,IndianLiverPatients,CTGAN,0.31802120141342755,0.31086294447601864,1.3710611131041064
2,IndianLiverPatients,convexCTGAN,0.2579505300353357,0.2679522597543799,1.4626199251723575
3,IndianLiverPatients,CTABGAN,0.38515901060070673,0.3232166826007558,1.1845629101976556
4,IndianLiverPatients,convexCTABGAN,0.4204946996466431,0.3633340261899813,1.1618819473390527
5,IndianLiverPatients,TabDDPM,0.3250883392226148,0.3341672307082233,1.3323321634242395
0,T2DM,NextConvGeN,0.616822825534797,0.6100237039835539,1.2578956082731345
1,T2DM,CTGAN,0.55050939775357,0.5500296827092469,1.4906039032699936
2,T2DM,convexCTGAN,0.5930109499350905,0.5879943733867925,1.3400352610558666
3,T2DM,CTABGAN,0.4279435005926511,0.4655614713726624,1.5538514711688207
4,T2DM,convexCTABGAN,0.5419230117965795,0.5343230449410016,1.3897238817910322
5,T2DM,TabDDPM,0.6403242648303887,0.6378807805014446,1.2887005313689697
0,ContraceptiveMethods,NextConvGeN,0.505442415730337,0.5045149858682234,
1,ContraceptiveMethods,CTGAN,0.48577949438202245,0.4543113507503401,
2,ContraceptiveMethods,convexCTGAN,0.4445224719101124,0.4404139456232273,
3,ContraceptiveMethods,CTABGAN,0.3732443820224719,0.32790770462488544,
4,ContraceptiveMethods,convexCTABGAN,0.3690308988764045,0.3795132181806987,
5,ContraceptiveMethods,TabDDPM,0.5059691011235955,0.5064304844810481,
0,StudentsMentalHealth,NextConvGeN,0.6533333333333334,0.6475228118105818,0.9444207328685732
1,StudentsMentalHealth,CTGAN,0.5633333333333334,0.5178277722481142,1.368333391562208
2,StudentsMentalHealth,convexCTGAN,0.5433333333333333,0.5370490987983759,1.8289151475308683
3,StudentsMentalHealth,CTABGAN,0.47333333333333333,0.48708618806374226,1.2670674480591095
4,StudentsMentalHealth,convexCTABGAN,0.4266666666666667,0.43895334691620946,1.1491576392985592
5,StudentsMentalHealth,TabDDPM,0.7299999999999999,0.7162920994577315,0.9872895799003015
0,Migraine,NextConvGeN,0.8007978723404255,0.7944647491674546,
1,Migraine,CTGAN,0.7694148936170213,0.7512322461229881,
2,Migraine,convexCTGAN,0.7409574468085107,0.7358445335800295,
3,Migraine,CTABGAN,0.5960106382978723,0.6305637232401158,
4,Migraine,convexCTABGAN,0.5316489361702128,0.556551721009975,
5,Migraine,TabDDPM,0.785372340425532,0.7831769508656384,
0,Stroke,NextConvGeN,0.6251833740831295,0.6211798006996669,1.3298094509099851
1,Stroke,CTGAN,0.5206193969030155,0.5403576966703045,1.5203604465275669
2,Stroke,convexCTGAN,0.5904645476772615,0.5934226364009291,1.3143788040181221
3,Stroke,CTABGAN,0.38818255908720456,0.43561284491670466,1.367452062199615
4,Stroke,convexCTABGAN,0.5056234718826407,0.5184473697582921,1.4651502935015341
5,Stroke,TabDDPM,0.6757131214343928,0.6758795542990734,1.209729726526624
0,PimaIndianDiabetes,NextConvGeN,0.5677083333333334,0.5671212319395781,1.2530030391502334
1,PimaIndianDiabetes,CTGAN,0.15885416666666666,0.15209364439420278,1.480765367344945
2,PimaIndianDiabetes,convexCTGAN,0.16145833333333334,0.16486842323684114,1.4268548285332396
3,PimaIndianDiabetes,CTABGAN,0.12239583333333333,0.12140562270106048,1.3280545502619838
4,PimaIndianDiabetes,convexCTABGAN,0.13541666666666666,0.1331964697456545,1.4396605519515773
5,PimaIndianDiabetes,TabDDPM,0.4973958333333333,0.49114947726492647,1.1327379981143832
0,Obesity,NextConvGeN,0.8071028588269967,0.8063064312729659,
1,Obesity,CTGAN,0.5606395520188624,0.5817628538900143,
2,Obesity,convexCTGAN,0.6494989684644857,0.6499119651356913,
3,Obesity,CTABGAN,0.3514588859416446,0.40207187527162347,
4,Obesity,convexCTABGAN,0.47671676982021804,0.5154101922060511,
5,Obesity,TabDDPM,0.8342175066312998,0.8331121899754965,
0,LiverCirrhosis,NextConvGeN,0.6251993620414673,0.6187570994359367,1.0794790276510655
1,LiverCirrhosis,CTGAN,0.5502392344497608,0.5522981033640515,1.47532071976163
2,LiverCirrhosis,convexCTGAN,0.46331738437001596,0.48794731220363635,1.537967393194133
3,LiverCirrhosis,CTABGAN,0.31578947368421056,0.2992959729755595,1.4187905195262707
4,LiverCirrhosis,convexCTABGAN,0.4282296650717703,0.43834588254630247,1.5637104768149728
5,LiverCirrhosis,TabDDPM,0.5446570972886762,0.5243246304801013,1.6020164075439376
0,HeartFailure,NextConvGeN,0.55,0.549185379979739,1.0821085335094438
1,HeartFailure,CTGAN,0.485,0.4876483209158381,1.3879533878132246
2,HeartFailure,convexCTGAN,0.5133333333333333,0.5049837386971336,1.482643153618456
3,HeartFailure,CTABGAN,0.5416666666666666,0.5304694113365814,1.1791332505873093
4,HeartFailure,convexCTABGAN,0.46499999999999997,0.45402441443868197,1.1311961656754865
5,HeartFailure,TabDDPM,0.5783333333333334,0.5799525255563952,1.1342493322189062
