number,value,params_alpha_clip,params_gen,params_neb,params_neb_epochs,user_attrs_f1_real,user_attrs_f1_syn,state
0,,0.5387926357773329,20,5,37,,,PRUNED
1,,0.7795585311974417,5,3,4,,,PRUNED
2,,0.8729188669457949,16,7,3,,,PRUNED
3,,0.16506405886809045,11,9,10,,,PRUNED
4,,0.26210622617823776,12,4,23,,,PRUNED
5,,0.32972565896432254,8,7,16,,,PRUNED
6,,0.46281099457225044,17,6,11,,,PRUNED
7,0.009197493430361803,0.15347171131856238,7,7,31,0.8215686274509804,0.8123711340206186,COMPLETE
8,,0.727557613304815,20,2,49,,,PRUNED
9,,0.3961372443656412,5,4,35,,,PRUNED
10,,0.01616568805333768,14,10,30,,,PRUNED
11,,0.5741745796899548,9,6,41,,,PRUNED
12,,0.58627829737791,20,8,40,,,PRUNED
13,,0.019393369676948158,8,5,25,,,PRUNED
14,,0.19293447203892966,17,5,32,,,PRUNED
15,,0.537403214432593,14,8,50,,,PRUNED
16,,0.6503724984772615,11,5,40,,,PRUNED
17,,0.13174910884996682,18,7,21,,,PRUNED
18,,0.4513479653122717,6,2,35,,,PRUNED
19,,0.32466781908971243,14,6,44,,,PRUNED
20,,0.11029688437605195,19,10,29,,,PRUNED
21,0.0024158986612052846,0.8723428668438462,3,3,3,0.8215686274509804,0.8239845261121856,COMPLETE
22,0.08791009086561452,0.8814830325954701,3,3,18,0.8215686274509804,0.7336585365853658,COMPLETE
23,0.013277107576242786,0.8133465659260299,3,3,18,0.8215686274509804,0.8348457350272231,COMPLETE
24,0.044607843137254855,0.7827970120056741,3,3,10,0.8215686274509804,0.7769607843137255,COMPLETE
25,,0.6844477103586282,6,4,14,,,PRUNED
26,,0.7409190108553183,2,2,6,,,PRUNED
27,,0.8309694914770439,4,3,19,,,PRUNED
28,,0.6683182510074205,9,8,27,,,PRUNED
29,,0.8057108081638071,7,4,7,,,PRUNED
30,,0.4928296703124734,10,9,14,,,PRUNED
31,,0.8920304580612405,4,3,9,,,PRUNED
32,,0.7747398369323518,4,3,12,,,PRUNED
33,,0.8284807498319517,2,2,2,,,PRUNED
34,,0.7345998918121629,6,4,5,,,PRUNED
35,,0.6157430968187878,5,3,7,,,PRUNED
36,,0.8603207395347701,8,7,2,,,PRUNED
37,,0.7832439448306944,4,3,23,,,PRUNED
38,,0.39646570524785546,7,4,9,,,PRUNED
39,,0.24621505090780355,3,2,17,,,PRUNED
40,,0.7118391988715255,7,5,12,,,PRUNED
41,0.04351984696317546,0.8994721446789168,3,3,19,0.8215686274509804,0.7780487804878049,COMPLETE
42,,0.8255366647888216,5,4,20,,,PRUNED
43,,0.8573758101065703,2,2,23,,,PRUNED
44,,0.764032934650496,4,3,15,,,PRUNED
45,,0.893396232528258,7,6,4,,,PRUNED
46,,0.06139355204951724,5,3,26,,,PRUNED
47,,0.8026375149062088,12,7,34,,,PRUNED
48,,0.836612886803495,6,5,30,,,PRUNED
49,,0.6983177925907766,3,2,21,,,PRUNED
