number,value,params_alpha_clip,params_gen,params_neb,params_neb_epochs,user_attrs_f1_real,user_attrs_f1_syn,state
0,,0.5387926357773329,20,5,37,,,PRUNED
1,,0.7795585311974417,5,3,4,,,PRUNED
2,,0.8729188669457949,16,7,3,,,PRUNED
3,,0.16506405886809045,11,9,10,,,PRUNED
4,,0.26210622617823776,12,4,23,,,PRUNED
5,,0.32972565896432254,8,7,16,,,PRUNED
6,,0.46281099457225044,17,6,11,,,PRUNED
7,0.011295419915103633,0.15347171131856238,7,7,31,0.6596161927440818,0.6709116126591854,COMPLETE
8,,0.727557613304815,20,2,49,,,PRUNED
9,,0.3961372443656412,5,4,35,,,PRUNED
10,,0.01616568805333768,14,10,30,,,PRUNED
11,,0.5741745796899548,9,6,41,,,PRUNED
12,,0.58627829737791,20,8,40,,,PRUNED
13,,0.019393369676948158,8,5,25,,,PRUNED
14,,0.19293447203892966,17,5,32,,,PRUNED
15,,0.537403214432593,14,8,50,,,PRUNED
16,,0.6503724984772615,11,5,40,,,PRUNED
17,,0.13174910884996682,18,7,21,,,PRUNED
18,,0.4513479653122717,6,2,35,,,PRUNED
19,,0.32466781908971243,14,6,44,,,PRUNED
20,,0.11029688437605195,19,10,29,,,PRUNED
21,0.015383807255918258,0.8723428668438462,3,3,3,0.6596161927440818,0.675,COMPLETE
22,0.043966654240155556,0.8814830325954701,3,3,18,0.6596161927440818,0.6156495385039262,COMPLETE
23,0.03938046277431284,0.8133465659260299,3,3,18,0.6596161927440818,0.6989966555183946,COMPLETE
24,0.00406671215359522,0.7827970120056741,3,3,10,0.6596161927440818,0.6555494805904866,COMPLETE
25,,0.6983013256442134,6,4,8,,,PRUNED
26,,0.6538359407887135,2,2,14,,,PRUNED
27,,0.7955712180377634,4,3,6,,,PRUNED
28,,0.8798293604428855,9,8,12,,,PRUNED
29,,0.7317239412262536,7,4,2,,,PRUNED
30,,0.822604290085518,10,9,28,,,PRUNED
31,,0.8152334734821828,4,3,19,,,PRUNED
32,,0.7562336303745356,4,3,7,,,PRUNED
33,,0.8284807498319517,2,2,14,,,PRUNED
34,,0.6750079012433381,6,4,5,,,PRUNED
35,,0.8950350499550402,5,3,25,,,PRUNED
36,,0.7737607597223777,8,7,2,,,PRUNED
37,,0.6211153463165197,4,3,9,,,PRUNED
38,,0.8512441586100397,7,4,21,,,PRUNED
39,,0.5078369038497595,3,2,13,,,PRUNED
40,,0.373996748488252,7,5,16,,,PRUNED
41,0.009688499172255116,0.8994721446789168,3,3,17,0.6596161927440818,0.6693046919163369,COMPLETE
42,,0.7688029675449896,5,4,10,,,PRUNED
43,,0.8481937409192681,2,2,16,,,PRUNED
44,,0.2714859681186472,4,3,23,,,PRUNED
45,,0.7191844614003757,7,6,4,,,PRUNED
46,,0.7953252787785761,5,3,11,,,PRUNED
47,,0.8916571745211649,12,7,18,,,PRUNED
48,,0.08000312865583326,6,5,22,,,PRUNED
49,,0.8461103203538288,3,2,32,,,PRUNED
