number,value,params_alpha_clip,params_gen,params_neb,params_neb_epochs,user_attrs_f1_real,user_attrs_f1_syn,state
0,,0.5387926357773329,20,5,37,,,PRUNED
1,,0.7795585311974417,5,3,4,,,PRUNED
2,,0.8729188669457949,16,7,3,,,PRUNED
3,,0.16506405886809045,11,9,10,,,PRUNED
4,,0.26210622617823776,12,4,23,,,PRUNED
5,,0.32972565896432254,8,7,16,,,PRUNED
6,,0.46281099457225044,17,6,11,,,PRUNED
7,,0.15347171131856238,7,7,31,,,PRUNED
8,,0.727557613304815,20,2,49,,,PRUNED
9,,0.3961372443656412,5,4,35,,,PRUNED
10,,0.5758183738140614,20,10,43,,,PRUNED
11,,0.6650843599263765,2,2,40,,,PRUNED
12,,0.8564836011372008,15,4,24,,,PRUNED
13,,0.5520020382522118,10,5,31,,,PRUNED
14,0.011492529266155072,0.7218637341993077,3,3,2,0.32696978188781467,0.33846231115396974,COMPLETE
15,,0.6091362522860537,14,5,21,,,PRUNED
16,,0.4956208587990786,18,3,50,,,PRUNED
17,,0.7104786818854189,13,5,41,,,PRUNED
18,,0.7868360378379042,9,3,29,,,PRUNED
19,,0.37442832022565803,18,6,36,,,PRUNED
20,,0.6202402406863761,19,8,17,,,PRUNED
21,0.02530979111394438,0.8023757446554785,3,3,3,0.32696978188781467,0.35227957300175905,COMPLETE
22,,0.7973109060708021,2,2,7,,,PRUNED
23,,0.018822209835063497,4,3,2,,,PRUNED
24,,0.6758975124112734,6,4,14,,,PRUNED
25,,0.5396767599776616,8,5,7,,,PRUNED
26,,0.7483322494411747,4,3,19,,,PRUNED
27,,0.88723066048913,2,2,11,,,PRUNED
28,,0.6416245495108577,6,4,7,,,PRUNED
29,,0.818890217574209,4,3,46,,,PRUNED
30,,0.7348817412094832,10,6,37,,,PRUNED
31,,0.8408847788822784,4,3,4,,,PRUNED
32,,0.8790238564096986,3,2,4,,,PRUNED
33,,0.7621185488212128,6,4,2,,,PRUNED
34,,0.6809169056736611,5,3,8,,,PRUNED
35,,0.5096657443126741,15,8,14,,,PRUNED
36,,0.4228333508477433,7,5,5,,,PRUNED
37,,0.5925743544953352,8,6,9,,,PRUNED
38,,0.3358190877560361,11,4,12,,,PRUNED
39,,0.24621505090780355,3,2,5,,,PRUNED
40,,0.699152794810518,5,4,27,,,PRUNED
41,,0.8994721446789168,16,7,2,,,PRUNED
42,,0.8270405175543877,17,8,5,,,PRUNED
43,,0.7894407140441495,20,7,10,,,PRUNED
44,,0.7634019064538367,13,9,33,,,PRUNED
45,,0.8609595006004231,7,6,24,,,PRUNED
46,,0.7198530886313382,19,7,2,,,PRUNED
47,,0.6440278025873798,16,3,14,,,PRUNED
48,,0.8262513222510336,14,5,6,,,PRUNED
49,,0.7887437111797835,12,9,38,,,PRUNED
