number,value,params_alpha_clip,params_gen,params_neb,params_neb_epochs,user_attrs_f1_real,user_attrs_f1_syn,state
0,,0.5387926357773329,20,5,37,,,PRUNED
1,,0.7795585311974417,5,3,4,,,PRUNED
2,,0.8729188669457949,16,7,3,,,PRUNED
3,,0.16506405886809045,11,9,10,,,PRUNED
4,,0.26210622617823776,12,4,23,,,PRUNED
5,,0.32972565896432254,8,7,16,,,PRUNED
6,,0.46281099457225044,17,6,11,,,PRUNED
7,0.08728778467908915,0.15347171131856238,7,7,31,0.7920496894409939,0.7047619047619047,COMPLETE
8,,0.727557613304815,20,2,49,,,PRUNED
9,,0.3961372443656412,5,4,35,,,PRUNED
10,,0.01616568805333768,14,10,30,,,PRUNED
11,,0.5741745796899548,9,6,41,,,PRUNED
12,,0.58627829737791,20,8,40,,,PRUNED
13,,0.019393369676948158,8,5,25,,,PRUNED
14,,0.19293447203892966,17,5,32,,,PRUNED
15,,0.537403214432593,14,8,50,,,PRUNED
16,,0.6503724984772615,11,5,40,,,PRUNED
17,,0.13174910884996682,18,7,21,,,PRUNED
18,,0.4513479653122717,6,2,35,,,PRUNED
19,,0.32466781908971243,14,6,44,,,PRUNED
20,,0.11029688437605195,19,10,29,,,PRUNED
21,0.031247220305191448,0.8723428668438462,3,3,3,0.7920496894409939,0.7608024691358024,COMPLETE
22,0.08728778467908915,0.8814830325954701,3,3,18,0.7920496894409939,0.7047619047619047,COMPLETE
23,0.002266687632675568,0.8133465659260299,3,3,18,0.7920496894409939,0.7897830018083183,COMPLETE
24,0.03360813099943538,0.7827970120056741,3,3,10,0.7920496894409939,0.7584415584415585,COMPLETE
25,0.01659228586764816,0.7961787092617172,3,3,9,0.7920496894409939,0.808641975308642,COMPLETE
26,,0.7021576253791184,5,4,7,,,PRUNED
27,,0.8273050510998249,2,2,15,,,PRUNED
28,,0.6683182510074205,4,3,6,,,PRUNED
29,,0.8055043364781007,6,4,13,,,PRUNED
30,,0.7348817412094832,2,2,2,,,PRUNED
31,,0.8885893755067545,4,3,9,,,PRUNED
32,,0.7641859619952087,4,3,19,,,PRUNED
33,,0.8266215385740396,6,4,6,,,PRUNED
34,,0.6355908632088303,4,3,13,,,PRUNED
35,,0.7786686468691395,2,2,2,,,PRUNED
36,,0.8446871741504585,9,3,8,,,PRUNED
37,,0.8929015153001987,7,4,12,,,PRUNED
38,,0.7568647425648459,5,3,4,,,PRUNED
39,,0.6954971449966173,7,4,16,,,PRUNED
40,,0.8027087270552622,3,2,5,,,PRUNED
41,,0.5078713706885751,9,8,24,,,PRUNED
42,,0.27159394668733483,8,7,27,,,PRUNED
43,,0.8481937409192681,6,5,10,,,PRUNED
44,,0.6070127624611478,11,7,19,,,PRUNED
45,,0.3623025096532762,7,6,22,,,PRUNED
46,,0.715527497145038,10,9,10,,,PRUNED
47,,0.7812888237275849,6,5,15,,,PRUNED
48,,0.40397005979673917,5,3,4,,,PRUNED
49,,0.8461103203538288,10,9,32,,,PRUNED
