number,value,params_alpha_clip,params_gen,params_neb,params_neb_epochs,user_attrs_f1_real,user_attrs_f1_syn,state
0,,0.5387926357773329,20,5,37,,,PRUNED
1,,0.7795585311974417,5,3,4,,,PRUNED
2,,0.8729188669457949,16,7,3,,,PRUNED
3,,0.16506405886809045,11,9,10,,,PRUNED
4,,0.26210622617823776,12,4,23,,,PRUNED
5,,0.32972565896432254,8,7,16,,,PRUNED
6,,0.46281099457225044,17,6,11,,,PRUNED
7,0.1297214657737722,0.15347171131856238,7,7,31,0.806266526967021,0.6765450611932488,COMPLETE
8,,0.727557613304815,20,2,49,,,PRUNED
9,,0.3961372443656412,5,4,35,,,PRUNED
10,,0.01616568805333768,14,10,30,,,PRUNED
11,,0.5741745796899548,9,6,41,,,PRUNED
12,,0.58627829737791,20,8,40,,,PRUNED
13,,0.019393369676948158,8,5,25,,,PRUNED
14,,0.19293447203892966,17,5,32,,,PRUNED
15,,0.537403214432593,14,8,50,,,PRUNED
16,,0.6503724984772615,11,5,40,,,PRUNED
17,,0.13174910884996682,18,7,21,,,PRUNED
18,,0.4513479653122717,6,2,35,,,PRUNED
19,,0.32466781908971243,14,6,44,,,PRUNED
20,,0.11029688437605195,19,10,29,,,PRUNED
21,0.03812516339386762,0.8723428668438462,3,3,3,0.806266526967021,0.7681413635731533,COMPLETE
22,0.06895914659394708,0.8814830325954701,3,3,18,0.806266526967021,0.7373073803730739,COMPLETE
23,0.10609217720057162,0.8133465659260299,3,3,18,0.806266526967021,0.7001743497664493,COMPLETE
24,0.045012965713459585,0.8868992782821485,3,3,18,0.806266526967021,0.7612535612535614,COMPLETE
25,0.02817225080937602,0.8922944594453353,3,3,12,0.806266526967021,0.7780942761576449,COMPLETE
26,,0.7236214065164367,5,4,8,,,PRUNED
27,,0.897651969730046,2,2,14,,,PRUNED
28,,0.8123914338438063,4,3,7,,,PRUNED
29,,0.6666925488675508,6,4,2,,,PRUNED
30,,0.7580404083155077,2,2,13,,,PRUNED
31,,0.8626062647023631,4,3,20,,,PRUNED
32,,0.8067988635744537,4,3,6,,,PRUNED
33,,0.855094158215588,6,4,16,,,PRUNED
34,,0.6805670171756233,4,3,11,,,PRUNED
35,,0.8952823723240027,2,2,25,,,PRUNED
36,,0.7772083563147146,9,3,5,,,PRUNED
37,,0.8569671973197225,7,4,9,,,PRUNED
38,,0.8176315036226276,5,3,18,,,PRUNED
39,,0.7440742408518238,7,4,13,,,PRUNED
40,,0.7056190176676785,3,2,4,,,PRUNED
41,,0.8337412096861179,4,3,19,,,PRUNED
42,0.06520889179173861,0.7904373782610656,3,3,22,0.806266526967021,0.7410576351752823,COMPLETE
43,,0.8997223003291164,5,4,23,,,PRUNED
44,,0.7834108738762983,3,2,16,,,PRUNED
45,,0.8653668829640082,5,3,22,,,PRUNED
46,,0.6215434223306361,6,5,27,,,PRUNED
47,,0.7812888237275849,5,4,11,,,PRUNED
48,,0.5229102763962115,7,5,15,,,PRUNED
49,,0.8442513942193365,3,2,27,,,PRUNED
