number,value,params_alpha_clip,params_gen,params_neb,params_neb_epochs,user_attrs_f1_real,user_attrs_f1_syn,state
0,,0.5387926357773329,20,5,37,,,PRUNED
1,,0.7795585311974417,5,3,4,,,PRUNED
2,,0.8729188669457949,16,7,3,,,PRUNED
3,,0.16506405886809045,11,9,10,,,PRUNED
4,,0.26210622617823776,12,4,23,,,PRUNED
5,,0.32972565896432254,8,7,16,,,PRUNED
6,,0.46281099457225044,17,6,11,,,PRUNED
7,0.06451421441828287,0.15347171131856238,7,7,31,0.9625026987961665,0.8979884843778836,COMPLETE
8,,0.727557613304815,20,2,49,,,PRUNED
9,,0.3961372443656412,5,4,35,,,PRUNED
10,,0.01616568805333768,14,10,30,,,PRUNED
11,,0.5741745796899548,9,6,41,,,PRUNED
12,,0.58627829737791,20,8,40,,,PRUNED
13,,0.019393369676948158,8,5,25,,,PRUNED
14,,0.19293447203892966,17,5,32,,,PRUNED
15,,0.537403214432593,14,8,50,,,PRUNED
16,,0.6503724984772615,11,5,40,,,PRUNED
17,,0.13174910884996682,18,7,21,,,PRUNED
18,,0.4513479653122717,6,2,35,,,PRUNED
19,,0.32466781908971243,14,6,44,,,PRUNED
20,,0.11029688437605195,19,10,29,,,PRUNED
21,0.043320842646253355,0.8723428668438462,3,3,3,0.9625026987961665,0.9191818561499131,COMPLETE
22,0.05217971026754509,0.8814830325954701,3,3,18,0.9625026987961665,0.9103229885286214,COMPLETE
23,0.06889270412195869,0.8133465659260299,3,3,18,0.9625026987961665,0.8936099946742078,COMPLETE
24,0.05674262979564482,0.8737405437408295,3,3,10,0.9625026987961665,0.9057600690005216,COMPLETE
25,0.061582447530964535,0.8922944594453353,3,3,9,0.9625026987961665,0.9009202512652019,COMPLETE
26,,0.7144948808459202,5,4,14,,,PRUNED
27,,0.8171098830593504,2,2,7,,,PRUNED
28,,0.6950086209706596,4,3,6,,,PRUNED
29,,0.8530855728789096,6,4,13,,,PRUNED
30,,0.7580404083155077,2,2,2,,,PRUNED
31,,0.8924225753847014,4,3,8,,,PRUNED
32,,0.8943610137959029,4,3,19,,,PRUNED
33,,0.8095528130465877,6,4,5,,,PRUNED
34,,0.6570134671245083,4,3,10,,,PRUNED
35,,0.8434132656707842,2,2,2,,,PRUNED
36,,0.7772083563147146,9,3,14,,,PRUNED
37,,0.8953181890973324,7,4,9,,,PRUNED
38,,0.7426047159034723,5,3,12,,,PRUNED
39,,0.8414726000219878,7,4,16,,,PRUNED
40,,0.6777410099575701,3,2,4,,,PRUNED
41,,0.7775828808813696,9,8,24,,,PRUNED
42,,0.27159394668733483,8,7,27,,,PRUNED
43,,0.5020787087493932,6,5,21,,,PRUNED
44,,0.845083780344606,11,7,17,,,PRUNED
45,,0.3772654811225308,7,6,10,,,PRUNED
46,,0.8690335155091058,10,9,6,,,PRUNED
47,,0.6196736333867674,6,5,22,,,PRUNED
48,,0.8054167999558455,5,3,4,,,PRUNED
49,,0.7326996633650407,10,9,32,,,PRUNED
