number,value,params_alpha_clip,params_gen,params_neb,params_neb_epochs,state
0,,0.5387926357773329,20,5,37,PRUNED
1,,0.7795585311974417,5,3,4,PRUNED
2,,0.8729188669457949,16,7,3,PRUNED
3,,0.16506405886809045,11,9,10,PRUNED
4,,0.26210622617823776,12,4,23,PRUNED
5,,0.32972565896432254,8,7,16,PRUNED
6,,0.46281099457225044,17,6,11,PRUNED
7,,0.15347171131856238,7,7,31,PRUNED
8,,0.727557613304815,20,2,49,PRUNED
9,,0.3961372443656412,5,4,35,PRUNED
10,,0.5758183738140614,20,10,43,PRUNED
11,,0.6650843599263765,2,2,40,PRUNED
12,,0.8564836011372008,15,4,24,PRUNED
13,,0.5520020382522118,10,5,31,PRUNED
14,,0.7218637341993077,3,3,2,PRUNED
15,,0.5589938377431285,14,5,21,PRUNED
16,,0.8075283053365052,18,3,50,PRUNED
17,,0.6778238708190614,9,5,41,PRUNED
18,,0.4249887086925648,6,3,29,PRUNED
19,,0.7792652903920223,13,6,36,PRUNED
20,,0.6202402406863761,18,8,17,PRUNED
21,,0.8723428668438462,16,7,3,PRUNED
22,,0.8814830325954701,19,6,7,PRUNED
23,,0.018822209835063497,16,8,7,PRUNED
24,,0.7736848876759964,13,8,14,PRUNED
25,,0.8171928038358311,15,5,6,PRUNED
26,,0.4824616615038794,18,4,45,PRUNED
27,,0.7168308200478944,17,6,19,PRUNED
28,,0.5147037070214147,4,2,11,PRUNED
29,,0.6275072934273582,11,9,37,PRUNED
30,,0.3608696138870244,11,9,28,PRUNED
31,,0.21866006844762464,12,10,10,PRUNED
32,,0.02529046070929375,14,9,4,PRUNED
33,,0.2868683363965411,8,7,13,PRUNED
34,,0.10372168011705332,10,8,8,PRUNED
35,,0.2523658423821311,19,7,5,PRUNED
36,,0.17508792480919835,7,3,2,PRUNED
37,,0.3074854317844812,16,9,9,PRUNED
38,,0.8977228456328759,12,10,13,PRUNED
39,,0.3663217566486958,20,7,17,PRUNED
40,,0.08930956986307337,7,4,23,PRUNED
41,,0.17135875716695953,13,4,24,PRUNED
42,,0.2416998938039536,9,5,32,PRUNED
43,,0.8349792834272249,11,4,47,PRUNED
44,,0.12314980263503758,14,6,33,PRUNED
45,,0.43537087105773165,6,3,39,PRUNED
46,,0.7683937455482563,2,2,27,PRUNED
47,,0.6860628276944927,15,5,5,PRUNED
48,,0.20879282268074656,5,3,15,PRUNED
49,,0.6022252351720785,17,4,10,PRUNED
