number,value,params_alpha_clip,params_gen,params_neb,params_neb_epochs,user_attrs_f1_real,user_attrs_f1_syn,state
0,,0.5387926357773329,20,5,37,,,PRUNED
1,,0.7795585311974417,5,3,4,,,PRUNED
2,,0.8729188669457949,16,7,3,,,PRUNED
3,,0.16506405886809045,11,9,10,,,PRUNED
4,,0.26210622617823776,12,4,23,,,PRUNED
5,,0.32972565896432254,8,7,16,,,PRUNED
6,,0.46281099457225044,17,6,11,,,PRUNED
7,0.021495995999913697,0.15347171131856238,7,7,31,0.5066181566181567,0.5281141526180704,COMPLETE
8,,0.727557613304815,20,2,49,,,PRUNED
9,,0.3961372443656412,5,4,35,,,PRUNED
10,,0.01616568805333768,14,10,30,,,PRUNED
11,,0.5741745796899548,9,6,41,,,PRUNED
12,,0.58627829737791,20,8,40,,,PRUNED
13,,0.019393369676948158,8,5,25,,,PRUNED
14,,0.19293447203892966,17,5,32,,,PRUNED
15,,0.537403214432593,14,8,50,,,PRUNED
16,,0.6503724984772615,11,5,40,,,PRUNED
17,,0.13174910884996682,18,7,21,,,PRUNED
18,,0.4513479653122717,6,2,35,,,PRUNED
19,,0.32466781908971243,14,6,44,,,PRUNED
20,,0.11029688437605195,19,10,29,,,PRUNED
21,0.025112421565829046,0.8723428668438462,3,3,3,0.5066181566181567,0.5317305781839857,COMPLETE
22,0.007683480442101098,0.8814830325954701,3,3,18,0.5066181566181567,0.5143016370602578,COMPLETE
23,0.0033785703041314674,0.8133465659260299,3,3,18,0.5066181566181567,0.5032395863140252,COMPLETE
24,0.0029814253733733143,0.7827970120056741,3,3,18,0.5066181566181567,0.5036367312447834,COMPLETE
25,0.00089134350017539,0.7759861893755636,3,3,18,0.5066181566181567,0.5057268131179813,COMPLETE
26,,0.7746054287530991,5,4,14,,,PRUNED
27,,0.7011728278002387,2,2,20,,,PRUNED
28,,0.8123914338438063,4,3,9,,,PRUNED
29,,0.6469423075308681,6,4,14,,,PRUNED
30,,0.8157892260568043,2,2,27,,,PRUNED
31,,0.8885893755067545,4,3,19,,,PRUNED
32,,0.7340775724458659,4,3,16,,,PRUNED
33,,0.8266215385740396,6,4,8,,,PRUNED
34,,0.6773003328818528,4,3,18,,,PRUNED
35,,0.7567239976862132,2,2,23,,,PRUNED
36,,0.8968113668517625,9,3,6,,,PRUNED
37,,0.8363003717787554,7,4,14,,,PRUNED
38,,0.790096556594806,5,3,12,,,PRUNED
39,,0.8582691404770674,7,4,22,,,PRUNED
40,,0.6372809809331774,3,2,17,,,PRUNED
41,,0.5150092478265523,9,8,24,,,PRUNED
42,,0.7060699280190026,8,7,29,,,PRUNED
43,,0.4059812926972307,6,5,27,,,PRUNED
44,,0.2714859681186472,11,7,19,,,PRUNED
45,,0.759640954352695,7,6,33,,,PRUNED
46,,0.5933067255002604,10,9,12,,,PRUNED
47,,0.8497572226544394,6,5,26,,,PRUNED
48,,0.7926863359354972,5,3,16,,,PRUNED
49,,0.21566120324931848,10,9,21,,,PRUNED
